Chlorite group,Quartz,Pyroxene,Plagioclase,K-Feldspar,Calcite group - Siderite,Calcite group,Dolomite group,Spinel group,Hematite group,Stilpnomelane,Mica group,Pyrite,Rutile group,Goethite,Smectite group,Sepiolite,Kaolinite-serpentine group,Birnessite,Fe3O4,Fe,SiO2,Al2O3,TiO2,Mn,CaO,P,S,MgO,K2O,Na2O,Zn,As,Cl,Cu,Pb,Ba,V,Cr,Ni,Co,Sn,Zr,Sr,LOI371,LOI650,LOI1000,LOI
3.662715848298998,49.37285572424173,,3.2040295503135403,,40.08946033739256,,1.5305504559203864,0,1.2395857295197317,,0,,0.900802354,0,0,0,0,,0.9,19.52,48.64,1.809,0.069,0.821,0.924,0.137,0.078,3.1,0.498,0.255,0.014,0.001,0.001,0.007,0.003,0.005,-0.001,0.002,0.005,0.001,-0.001,0.001,0.013,6.19,8.62,0.2,15.01
3.516139451592046,55.640547317921545,,3.4767892382084895,,30.496207637060397,,3.2620247061135013,0,2.949131060334123,,0,,0.6591605887698992,0,0,0,0,,1.3,16.68,55.01,1.694,0.069,0.867,1.215,0.118,0.035,3.07,0.434,0.276,0.005,0.001,0.001,0.005,0.002,0.005,-0.001,0.001,0.003,0.001,-0.001,0.001,0.012,0.74,11.77,0.2,12.71
3.6790616596900896,39.35672772826809,,0.5508167060679249,,22.361066853194508,,0.8081006327147995,27.50089620362877,5.3883060940766345,,0.35502412235918357,,0,0,0,0,0,,27.81,34.61,37.2,1.271,0.06,0.456,0.799,0.109,0.103,1.86,0.142,0.045,0.003,0.001,0.007,-0.001,-0.001,-0.001,-0.001,0.013,0.003,-0.001,-0.001,0.003,0.009,1.06,6.74,-0.02,7.78
5.228799076821921,41.84336495970657,,0,,19.728158829109603,,1.425019901821068,27.218719498285367,4.358709187527038,,0.1972285467284311,,0,0,0,0,0,,26.43,32.79,40.07,1.529,0.064,0.402,0.879,0.116,0.126,1.89,0.107,0.022,0.002,0.001,0.005,0.002,-0.001,-0.001,0.001,0.013,0.002,-0.001,-0.001,0.003,0.009,0.61,6.5,0.05,7.16
6.091997243682289,40.55201613087787,,0,,20.523562136545156,,1.6790871209136027,25.54151923680787,4.313068075,,1.2987500559958702,,0,0,0,0,0,,26.23,32.32,40.37,1.583,0.066,0.472,0.789,0.102,0.114,2.07,0.15,0.034,0.002,0.002,0.003,0.001,-0.001,-0.001,0.001,0.011,0.001,-0.001,-0.001,0.003,0.009,0.48,6.93,0.04,7.45
2.9668940631091236,41.305382047591046,,0,,18.637692245892172,,2.2595656080876916,25.87772183585529,7.569047074575423,,1.3836971248892567,,0,0,0,0,0,,25.74,33.45,40.12,0.982,0.038,0.455,0.902,0.116,0.089,1.79,0.133,0.017,0.002,0.002,0.001,0.001,-0.001,-0.001,-0.001,0.009,-0.001,-0.001,-0.001,0.003,0.005,0.45,6.36,0.11,6.92
2.926525129535423,41.813305698017714,,0,,18.945296273897302,,1.9118705688622153,29.968355984738558,4.0243009002729435,,0.4103454446758425,,0,0,0,0,0,,29.59,33.68,39.97,0.999,0.048,0.447,0.927,0.122,0.064,1.63,0.172,0.016,0.002,0.001,0.003,-0.001,0.001,-0.001,-0.001,0.007,-0.001,-0.001,-0.001,0.003,0.01,0.5,6.17,0.04,6.71
6.989673565586971,40.98623479,,0,,24.658528230118687,,1.3566264342408687,24.57873136897542,1.3886797625003184,,0.041525849,,0,0,0,0,0,,25.05,31.48,40.16,1.6,0.066,0.528,0.726,0.091,0.351,2.29,0.133,0.015,0.003,0.001,0.002,0.001,0.001,-0.001,0.001,0.015,-0.001,-0.001,-0.001,0.004,0.01,0.09,8.41,0.38,8.88
4.751477318709346,53.876783002472365,,0,,30.258756910901575,,2.4258078211916683,0,7.207731341563616,,1.479443605161422,,0,0,0,0,0,,0.86,20.18,51.59,1.75,0.071,0.612,1.084,0.151,0.147,2.51,0.198,0.053,0.004,0.001,0.001,0.008,-0.001,-0.001,-0.001,0.004,-0.001,-0.001,-0.001,0.003,0.005,1.9,9.68,0.54,12.12
7.792155079947535,56.97001694413859,,0,,26.389531725664547,,2.669209087578844,0,5.359619413167414,,0.8194677495030563,,0,0,0,0,0,,0.98,18.39,54.99,2.082,0.089,0.543,1.185,0.16,0.177,2.55,0.149,0.024,0.006,0.002,0.001,0.008,0.001,-0.001,-0.001,0.005,0.001,0.001,-0.001,0.004,0.009,0.26,9.97,0.79,11.02
7.341962077123772,57.66558325425599,,0,,25.847902903750377,,2.1045188778458166,0,5.594010764872133,,1.4460221221519214,,0,0,0,0,0,,0.86,18.09,55.52,2.142,0.087,0.619,1.037,0.137,0.154,2.73,0.203,0.034,0.007,0.001,-0.001,0.008,0.001,0.004,0.002,0.011,0.003,0.001,-0.001,0.005,0.01,0.28,9.96,0.78,11.02
3.8890337950534057,58.31321131826912,,0,,24.325895403030223,,2.770054845907451,0,9.434425414034589,,1.2673792237052202,,0,0,0,0,0,,1.11,19.48,54.83,1.39,0.065,0.599,1.199,0.153,0.123,2.39,0.195,0.022,0.004,0.001,0.004,0.007,-0.001,-0.001,-0.001,0.006,0.001,-0.001,-0.001,0.003,0.008,0.34,9.45,0.82,10.61
3.718454073922456,59.97158338086262,,0,,26.154259855557125,,3.4209849749081656,0,5.6283012574813105,,1.1064164572683268,,0,0,0,0,0,,0.98,17.02,57.99,1.476,0.061,0.62,1.302,0.173,0.094,2.29,0.25,0.018,0.004,0.001,0.001,0.008,-0.001,0.003,-0.001,0.004,-0.001,-0.001,-0.001,0.004,0.011,0.21,9.83,0.88,10.92
7.544170175532253,56.42207198803023,,0,,32.035067418515844,,2.3157069187292407,0,1.5870366670134968,,0.095946832,,0,0,0,0,0,,0.98,17.8,53.24,2.084,0.082,0.679,0.946,0.119,0.463,2.98,0.173,0.015,0.005,0.001,0.003,0.008,-0.001,0.002,-0.001,0.012,0.007,-0.001,-0.001,0.004,0.009,0.24,11.49,1.12,12.85
4.175158964233093,41.882972679260156,,0,,11.065130092942072,,0,31.224192008338544,9.184870932750734,,0,,0.39814232020351115,2.0695330022718825,0,0,0,,31.03,35.75,39.58,1.348,0.068,0.63,0.562,0.139,0.096,1.5,0.244,0.012,0.003,0.001,-0.001,-0.001,-0.001,0.004,0.008,0.009,-0.001,0.001,-0.001,0.003,0.005,0.25,3.65,-0.08,3.82
7.921781377789704,35.260310297062695,,0,,19.767837928422715,,0,27.899019109795983,1.4450266843382313,,0,,0.3897088625664752,0,0,7.316315740024195,0,,29.2,33.36,38.94,1.745,0.077,0.497,0.505,0.134,0.125,2.42,0.191,0.03,0.003,0.001,0.002,0.002,0.001,0.005,0.002,0.013,-0.001,-0.001,-0.001,0.004,0.009,0.16,7.08,-0.08,7.16
6.649827598911559,39.39680661910213,,0,,21.033989090631007,,0,30.03690862030834,1.1609577403817632,,0,,0,0,0,1.7215103306652109,0,,32.58,35.38,37.23,1.713,0.084,0.568,0.541,0.146,0.132,1.98,0.05,0.016,0.004,0.001,0.001,0.001,0.002,-0.001,0.002,0.015,0.007,0.002,-0.001,0.004,0.01,0.14,6.45,-0.12,6.47
6.276514755855521,40.16146005376404,,0,,15.793052471162921,,0,35.29917719929357,1.0397207919486071,,0,,0.4288384174192466,1.001236310556089,0,0,0,,32.29,34.05,40.47,1.928,0.086,0.59,0.376,0.096,0.152,1.74,0.19,0.012,0.004,0.001,0.001,0.002,-0.001,0.004,0.002,0.024,0.015,-0.001,-0.001,0.003,0.006,0.16,5.12,-0.07,5.21
2.5514351988402817,39.14358120472751,,0,,12.086136268568408,,4.3330467092823985,36.72940963424353,4.459821147,,0.091598414,,0.6049714236031019,0,0,0,0,,34.41,35.17,38.85,1.033,0.048,0.602,1.275,0.113,0.047,1.76,0.309,0.014,0.003,0.001,0.019,0.001,-0.001,-0.001,-0.001,0.009,0.001,0.001,-0.001,0.003,0.008,-0.05,4.3,0.62,4.87
3.0382449497226984,37.02071546511829,,0,,11.09897072566786,,4.662410666480244,37.86615453576702,5.394155584831049,,0.093001686,,0.826346386,0,0,0,0,,35.67,35.7,38.6,1.154,0.049,0.599,1.267,0.12,0.099,1.83,0.405,0.012,0.002,0.001,0.004,0.001,-0.001,-0.001,-0.001,0.013,0.009,0.001,-0.001,0.003,0.009,-0.07,3.72,0.54,4.19
7.211707679520315,65.49079322855383,,0,,16.859569329002003,,0,0,6.747206194290356,,0,,0.6165408642522391,3.074182704381248,0,0,0,,0.89,15.56,62.27,2.089,0.083,0.953,0.653,0.202,0.138,2.26,0.387,0.018,0.004,0.001,-0.001,0.007,-0.001,0.005,-0.001,0.012,0.008,-0.001,-0.001,0.003,0.006,0.58,6.45,0.64,7.67
9.919039440751625,51.96678088315626,,0,,27.655648115939645,,0,1.0306643786226044,0.9159571742211071,,0,,0.3219999720731972,0,0,8.189910035235563,0,,0.89,16.72,55.89,2.492,0.1,0.686,0.66,0.178,0.188,3.35,0.25,0.045,0.005,0.001,0.001,0.005,-0.001,0.008,-0.001,0.003,0.003,0.001,-0.001,0.004,0.009,0.36,10.54,0.74,11.64
11.499695990310602,54.77994205,,0,,28.59863857,,0,0.8769881445586589,0.6789097684841956,,0,,0,0,0,3.5658254748489298,0,,1.02,16.62,55.92,2.579,0.106,0.836,0.804,0.217,0.199,2.97,0.071,0.031,0.007,0.001,-0.001,0.008,-0.001,-0.001,-0.001,0.008,0.002,0.001,-0.001,0.004,0.009,0.4,10.47,0.6,11.47
11.856384081036511,62.02346481,,0,,23.425326364457643,,0,0.8750437535497122,1.1703529994245323,,0,,0.6494279962997986,0,0,0,0,,1.29,14.83,60.89,2.848,0.117,0.86,0.549,0.139,0.226,2.55,0.286,0.039,0.005,0.001,0.001,0.007,-0.001,0.008,-0.001,0.004,0.005,0.001,-0.001,0.005,0.011,0.47,8.38,0.7,9.55
3.7447254266749725,64.09555138158018,,0,,18.202053651210726,,6.362171428931443,0.7962144371350881,5.9803750664921695,,0.33317520359975544,,0.4857334043756626,0,0,0,0,,1.15,13.98,61.86,1.613,0.062,0.906,1.912,0.167,0.075,2.67,0.477,0.023,0.003,0.001,-0.001,0.008,-0.001,0.005,-0.001,0.004,-0.001,-0.001,-0.001,0.003,0.008,0.22,7.47,1.81,9.50
4.087843552648884,63.146713260316204,,0,,15.979962760316091,,7.3170039483354365,0.6709296185821475,7.395844567139268,,0.3551431086231541,,1.046559184038804,0,0,0,0,,1.15,13.99,61.88,1.795,0.071,0.914,1.931,0.179,0.158,2.81,0.63,0.022,0.004,0.001,-0.001,0.007,-0.001,0.005,-0.001,0.001,0.001,-0.001,-0.001,0.004,0.011,0.19,6.77,1.71,8.67
1.491278963,8.188971331239548,,0,,3.9781279717243105,,0,84.24750269226173,0,,0,,0,0,0,2.0941190420301123,0,,83.8,63.98,8.813,0.321,0.036,0.098,0.107,0.018,0.012,0.543,0.027,0.017,0.003,-0.001,0.002,0.003,0.001,-0.001,0.004,0.02,0.005,0.001,-0.001,0.002,0.004,-0.19,0,-1.38,-1.57
0.6638412015955644,8.032859452473398,,0,,1.7201556395257995,,0,86.75076955784718,0,,0,,0,0,0,2.832374148558074,0,,86.7,65,8.524,0.214,0.024,0.09,0.111,0.024,0.004,0.394,0.054,0.017,0.002,-0.001,0.002,0.003,0.001,0.003,0.003,0.016,0.005,0.001,-0.001,0.002,0.003,-0.31,-0.59,-1.42,-2.32
1.0279472011354547,8.780693207787552,,0,,1.980935744278745,,0,85.15037141011885,0,,0,,0,0,0,3.0600524366793853,0,,83.8,63.8,9.739,0.291,0.028,0.096,0.097,0.021,0.009,0.484,0.059,0.027,0.003,-0.001,0.003,0.004,0.001,-0.001,0.003,0.019,0.005,0.001,-0.001,0.001,0.004,-0.27,-0.47,-1.31,-2.05
0.7072525584756526,9.160588275106432,,0,,2.309180862244768,,0,84.72364707485258,0,,0,,0,0,0,3.0993312293205415,0,,83.7,63.61,9.741,0.269,0.028,0.11,0.139,0.027,0.005,0.465,0.096,0.022,0.003,-0.001,0.002,0.003,-0.001,-0.001,0.003,0.018,0.009,0.001,-0.001,0.001,0.003,-0.34,-0.5,-1.33,-2.17
0,7.397035119105554,,0,,1.0010286550135412,,0,89.6433665,0,,0,,0,0,0,1.9585697301688059,0,,87.5,65.02,8.452,0.23,0.021,0.082,0.116,0.023,0.003,0.331,0.151,0.023,0.003,-0.001,0.003,0.003,-0.001,0.002,0.003,0.016,0.008,0.002,-0.001,0.001,0.003,-0.41,-0.85,-1.35,-2.61
1.250786139,7.275487580813972,,0,,2.6532633304118276,,0,82.55927286086713,0,,0,,0,0,0,6.261190088797432,0,,82.5,62.99,10.01,0.497,0.048,0.102,0.111,0.024,0.021,0.642,0.119,0.03,0.003,-0.001,0.003,0.004,0.002,0.005,0.007,0.038,0.01,0.001,-0.001,0.003,0.003,-0.19,-0.33,-1.22,-1.74
0.5494941859887226,6.159282501,,0,,1.0735461460285536,,0,79.44143674330043,12.187172675487568,,0,,0.2918106067241511,0,0,0.2972571418436133,0,,74.85,66.9,5.533,0.416,0.036,0.041,0.063,0.012,0.005,0.189,0.229,0.03,0.005,-0.001,0.005,-0.001,0.001,0.005,0.008,0.098,0.016,0.002,-0.001,0.001,0.002,-0.3,-0.76,-1.18,-2.24
0.5494941859887226,6.159282501,,0,,1.0735461460285536,,0,79.44143674330043,12.187172675487568,,0,,0.2918106067241511,0,0,0.2972571418436133,0,,,65.58,6.944,0.483,0.034,0.048,0.069,0.013,0.009,0.213,0.284,0.037,0.006,-0.001,-0.001,0.002,0.001,0.01,0.008,0.078,0.015,0.002,-0.001,-0.001,0.001,-0.31,-0.61,-1.16,-2.08
0,6.234354402943287,,0,,0,,0,92.78488032266802,0.7580916151865355,,0,,0,0,0,0.22267365920215726,0,,83.27,66.18,6.892,0.44,0.034,0.053,0.097,0.014,0.006,0.268,0.249,0.037,0.004,-0.001,0.003,-0.001,0.001,0.007,0.007,0.081,0.016,0.002,-0.001,0.001,0.003,-0.42,-0.73,-1.35,-2.50
0,6.234354402943287,,0,,0,,0,92.78488032266802,0.7580916151865355,,0,,0,0,0,0.22267365920215726,0,,,65.75,7.013,0.439,0.031,0.052,0.094,0.013,0.008,0.247,0.25,0.044,0.005,-0.001,-0.001,0.002,-0.001,0.012,0.008,0.066,0.016,0.002,0.001,-0.001,-0.001,-0.45,-0.72,-1.33,-2.50
0.69976302,5.865143774906174,,0,,1.4566498640402055,,0,91.04161327363337,0.4999773334756446,,0,,0,0,0,0.4368527342415152,0,,85,66.92,6.19,0.297,0.027,0.053,0.082,0.011,0.005,0.29,0.115,0.018,0.003,-0.001,0.007,-0.001,0.002,0.005,0.005,0.05,0.009,0.002,0.001,-0.001,0.002,-0.43,-0.79,-1.29,-2.51
0.69976302,5.865143774906174,,0,,1.4566498640402055,,0,91.04161327363337,0.4999773334756446,,0,,0,0,0,0.4368527342415152,0,,,65.57,7.405,0.331,0.026,0.061,0.088,0.013,0.008,0.32,0.137,0.025,0.006,0.001,-0.001,0.003,0.001,0.009,0.006,0.043,0.012,0.002,0.003,-0.001,0.001,-0.44,-0.69,-1.29,-2.42
0,6.996797657426831,,0,,1.2505296529432102,,0,89.85709454292345,0.6038157238956892,,0,,0.3523583451927952,0,0,0.9394040776180284,0,,82.12,64.72,8.54,0.593,0.04,0.057,0.095,0.014,0.01,0.31,0.359,0.056,0.004,-0.001,0.003,-0.001,0.002,0.01,0.008,0.069,0.015,0.001,0.001,0.001,0.003,-0.42,-0.76,-1.27,-2.45
0,6.996797657426831,,0,,1.2505296529432102,,0,89.85709454292345,0.6038157238956892,,0,,0.3523583451927952,0,0,0.9394040776180284,0,,,64.61,8.352,0.576,0.038,0.055,0.092,0.014,0.012,0.287,0.349,0.059,0.007,-0.001,-0.001,0.004,0.002,0.015,0.008,0.058,0.013,0.003,0.004,-0.001,0.003,-0.45,-0.78,-1.26,-2.49
0.9788256202329011,6.773923128348339,,0,,0.9008453450729177,,0,90.29792852214929,0,,0,,0.41309208357150456,0,0,0.6353853006250583,0,,84.2,65.47,7.62,0.59,0.042,0.055,0.099,0.016,0.018,0.31,0.325,0.021,0.005,-0.001,0.009,-0.001,0.001,0.011,0.009,0.078,0.012,0.002,0.002,0.002,0.003,-0.4,-0.84,-1.26,-2.50
0.9788256202329011,6.773923128348339,,0,,0.9008453450729177,,0,90.29792852214929,0,,0,,0.41309208357150456,0,0,0.6353853006250583,0,,,64.66,8.19,0.608,0.039,0.056,0.098,0.016,0.018,0.313,0.351,0.025,0.007,0.001,-0.001,0.004,0.002,0.014,0.01,0.066,0.014,0.003,-0.001,0.001,0.002,-0.41,-0.81,-1.23,-2.45
1.3582596538547778,5.505994933742309,,0,,1.2745571486077194,,0,90.27082399288376,0,,0,,0.2490713084907918,0,0,1.341292962420623,0,,83.46,65.42,7.192,0.693,0.063,0.046,0.095,0.014,0.014,0.378,0.296,0.015,0.008,-0.001,-0.001,-0.001,0.002,0.009,0.015,0.182,0.013,0.001,-0.001,0.002,0.003,-0.25,-0.78,-1.32,-2.35
1.3582596538547778,5.505994933742309,,0,,1.2745571486077194,,0,90.27082399288376,0,,0,,0.2490713084907918,0,0,1.341292962420623,0,,,64.72,7.622,0.735,0.063,0.053,0.099,0.015,0.017,0.396,0.308,0.027,0.012,-0.001,-0.001,0.005,0.003,0.014,0.015,0.153,0.016,0.001,0.001,0.001,0.001,-0.33,-0.68,-1.27,-2.28
1.891320914,4.454079399250555,,0,,1.4428361194000614,,0,90.51657450346953,0,,0,,0,0,0,1.6951890643784409,0,,84.99,66.06,6.13,0.653,0.069,0.042,0.074,0.009,0.015,0.384,0.22,0.02,0.008,-0.001,0.002,-0.001,0.002,0.013,0.02,0.211,0.014,0.001,-0.001,0.001,0.003,-0.26,-0.75,-1.35,-2.36
1.891320914,4.454079399250555,,0,,1.4428361194000614,,0,90.51657450346953,0,,0,,0,0,0,1.6951890643784409,0,,,66.35,5.75,0.605,0.065,0.042,0.068,0.008,0.018,0.351,0.205,0.012,0.011,-0.001,-0.001,0.004,0.004,0.017,0.02,0.179,0.017,0.004,-0.001,0.002,0.003,-0.31,-0.81,-1.29,-2.41
2.498254610945882,7.4811445940273185,,0,,1.8470415525909054,,0,86.16239121188723,0,,0,,0.3065379414482776,0,0,1.7046300891003927,0,,85.6,65.09,7.662,0.706,0.058,0.046,0.104,0.012,0.017,0.382,0.28,0.016,0.007,-0.001,-0.001,-0.001,0.002,0.015,0.014,0.138,0.012,0.002,0.001,0.002,0.003,-0.24,-0.72,-1.36,-2.32
2.498254610945882,7.4811445940273185,,0,,1.8470415525909054,,0,86.16239121188723,0,,0,,0.3065379414482776,0,0,1.7046300891003927,0,,,65.79,6.265,0.685,0.057,0.045,0.098,0.012,0.016,0.35,0.281,0.031,0.01,-0.001,-0.001,0.005,0.005,0.022,0.016,0.119,0.014,0.003,-0.001,0.002,0.003,-0.34,-0.75,-1.26,-2.35
0.836237858,8.501156233815092,,0,,1.3796069026315159,,0,88.01058877385577,0.9124050600903362,,0,,0,0,0,0.3600051720460878,0,,81.6,64.78,8.33,0.384,0.029,0.074,0.099,0.016,0.006,0.31,0.191,0.026,0.004,-0.001,0.001,0.004,0.005,0.008,0.004,0.037,0.011,0.001,-0.001,-0.001,0.007,-0.38,-0.62,-1.27,-2.27
0.836237858,8.501156233815092,,0,,1.3796069026315159,,0,88.01058877385577,0.9124050600903362,,0,,0,0,0,0.3600051720460878,0,,,65.92,7.178,0.318,0.025,0.056,0.083,0.013,0.006,0.245,0.165,0.021,0.006,-0.001,-0.001,0.005,0.004,0.008,0.007,0.043,0.016,0.002,-0.001,0.001,0.003,-0.41,-0.8,-1.28,-2.49
2.1506286947281987,7.047734692861179,,0,,1.6028809173197487,,0,88.09617101887103,0,,0,,0,0,0,1.1025846762198301,0,,83.3,64.02,8.69,0.645,0.052,0.067,0.105,0.016,0.038,0.421,0.26,0.027,0.009,-0.001,0.001,0.004,0.009,0.015,0.011,0.092,0.014,0.001,-0.001,-0.001,0.009,-0.29,-0.68,-1.18,-2.15
2.1506286947281987,7.047734692861179,,0,,1.6028809173197487,,0,88.09617101887103,0,,0,,0,0,0,1.1025846762198301,0,,,65.59,7.058,0.514,0.044,0.048,0.087,0.013,0.024,0.312,0.205,0.019,0.008,-0.001,-0.001,0.005,0.005,0.011,0.013,0.097,0.017,0.002,0.004,0.001,0.003,-0.32,-0.87,-1.2,-2.39
1.7496132620664027,6.677484976899711,,0,,0.9225994634160842,,0,89.47644033122728,0,,0,,0,0,0,1.1738619663905245,0,,81.4,64.44,7.939,0.812,0.07,0.043,0.103,0.014,0.022,0.445,0.27,0.027,0.01,-0.001,0.001,0.004,0.004,0.011,0.014,0.146,0.013,0.003,-0.001,-0.001,0.004,-0.25,-0.75,-1.23,-2.23
1.7496132620664027,6.677484976899711,,0,,0.9225994634160842,,0,89.47644033122728,0,,0,,0,0,0,1.1738619663905245,0,,,65.25,7.049,0.737,0.064,0.035,0.097,0.013,0.021,0.36,0.248,0.012,0.01,-0.001,-0.001,0.004,0.004,0.015,0.016,0.159,0.019,0.002,0.002,0.001,0.002,-0.29,-0.93,-1.19,-2.41
1.8673502172294172,5.922151298,,0,,2.0316648059753613,,0,88.89603536737266,0,,0,,0,0,0,1.282798311014493,0,,81.8,64.92,6.919,0.738,0.073,0.057,0.079,0.01,0.021,0.479,0.209,0.022,0.018,-0.001,0.001,0.004,0.004,0.012,0.017,0.255,0.014,0.001,-0.001,0.001,0.005,-0.2,-0.55,-1.22,-1.97
1.8673502172294172,5.922151298,,0,,2.0316648059753613,,0,88.89603536737266,0,,0,,0,0,0,1.282798311014493,0,,,66.22,5.735,0.616,0.068,0.044,0.066,0.009,0.021,0.377,0.173,0.016,0.018,-0.001,-0.001,0.004,0.003,0.01,0.02,0.263,0.019,0.002,-0.001,-0.001,0.002,-0.28,-0.78,-1.26,-2.32
1.6527347025480035,6.296722108448825,,0,,1.241410609204985,,0,89.87477948004343,0,,0,,0,0,0,0.9343530997547538,0,,83.7,65.24,7.451,0.585,0.046,0.051,0.07,0.011,0.021,0.384,0.253,0.013,0.005,-0.001,0.001,0.002,0.001,0.011,0.008,0.064,0.011,0.001,-0.001,-0.001,0.006,-0.34,-0.86,-1.17,-2.37
1.6527347025480035,6.296722108448825,,0,,1.241410609204985,,0,89.87477948004343,0,,0,,0,0,0,0.9343530997547538,0,,,66.31,6.412,0.48,0.04,0.039,0.064,0.01,0.019,0.304,0.218,0.019,0.007,-0.001,-0.001,0.003,0.004,0.014,0.009,0.067,0.012,0.002,0.001,0.001,0.002,-0.39,-1.04,-1.19,-2.62
0.9119279474695754,5.543499451,,0,,0,,0,92.90194478020499,0,,0,,0,0,0,0.6426278209667975,0,,85.4,65.22,7.332,0.66,0.048,0.049,0.091,0.011,0.022,0.342,0.37,0.017,0.006,-0.001,0.001,0.003,0.004,0.012,0.008,0.064,0.013,0.001,-0.001,0.001,0.005,-0.37,-0.93,-1.11,-2.41
0.9119279474695754,5.543499451,,0,,0,,0,92.90194478020499,0,,0,,0,0,0,0.6426278209667975,0,,,66.34,6.262,0.553,0.044,0.039,0.077,0.01,0.018,0.264,0.325,0.013,0.006,-0.001,-0.001,0.003,0.004,0.014,0.01,0.068,0.015,0.003,0.001,0.001,0.003,-0.4,-1.05,-1.19,-2.64
