Sample ID,From(m),To(m),Chlorite_ group_%,Quartz_%,Pyroxene_%,Plagioclase_%,K-Feldspar_%,Calcite_ group_siderite_%,Calcite_ group_%,Dolomite_ group_%,Spinel_ group_%,Hematite_ group_%,Stilpnomelane_%,Mica_ group_%,Pyrite_%,Rutile_ group_%,Goethite_%,Smectite_ group_%,Sepiolite_%,Kaolinite-serpentine_ group_%
NSRD0801-F-7,89,99.23,8.45,33.14,0.00,0.00,0.00,18.71,0.52,1.93,28.46,0.96,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NSRD0801-F-8,99.23,109.697,2.90,35.10,0.00,0.00,1.15,13.07,0.00,4.68,33.92,1.22,7.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0267-F-4,67.6,77.1,4.19,33.95,0.00,0.00,0.00,13.89,0.45,2.95,35.44,1.26,7.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0267-F-5,77.1,87.4,3.14,32.15,0.00,0.00,2.00,10.98,1.00,3.67,38.99,1.51,6.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0267-F-6,87.4,97.8,0.39,33.63,0.00,0.00,4.38,8.87,0.35,4.40,40.69,1.88,5.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0267-F-7,97.8,108.3,5.48,32.45,0.00,0.00,0.00,15.55,0.81,1.99,26.00,1.49,16.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0267-F-8,108.3,118.7,2.57,32.30,0.00,0.00,0.00,17.03,0.00,1.20,33.81,1.29,11.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0267-F-9,118.7,129.3,2.54,30.92,0.00,0.00,2.22,11.04,0.00,5.09,36.12,1.36,10.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0268-F-2,48.8,59.4,0.81,31.66,0.00,0.00,6.51,8.89,0.00,7.55,35.66,1.57,7.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0268-F-3,59.4,69.5,2.61,34.05,0.00,0.00,0.00,11.19,0.69,7.80,28.69,1.36,13.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0268-F-4,69.5,79.8,3.32,30.67,0.00,0.00,0.00,18.13,0.83,3.39,21.28,1.34,21.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0268-F-5,79.8,90.24,2.96,28.70,0.00,0.00,0.00,18.10,2.17,2.37,22.46,1.40,21.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0268-F-6,90.24,100.68,4.05,25.86,0.00,1.65,0.00,18.74,3.01,3.70,14.81,1.43,26.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0268-F-7,100.68,111,4.43,28.69,0.00,0.00,0.00,11.77,0.94,7.16,23.82,1.19,21.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0268-F-8,111,121.47,4.73,37.42,0.00,1.97,8.95,9.11,0.00,2.00,21.41,11.62,2.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0268-F-9,121.47,132,3.95,33.50,0.00,2.29,7.48,11.20,0.26,4.92,27.97,4.32,4.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0269-F-2,49.652,59.85,5.21,34.83,0.00,1.13,4.50,12.44,0.33,5.17,29.62,3.03,3.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0269-F-3,59.85,70.2,2.99,31.34,2.23,1.94,9.07,9.63,0.00,4.01,28.06,4.83,5.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0269-F-4,70.2,80.36,6.56,32.02,0.00,0.98,10.09,10.53,0.58,4.85,24.85,2.34,7.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0269-F-5,80.36,91.4,8.61,30.87,0.00,0.00,16.30,11.71,0.67,3.93,16.17,0.90,10.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0269-F-6,91.4,101.39,9.03,31.18,0.00,0.00,11.83,14.54,0.61,3.29,16.70,1.26,11.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GVRD0269-F-7,101.39,111.8,9.58,30.16,0.00,0.00,15.13,11.75,0.77,4.10,16.38,1.19,10.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
