FMG Training (Long List) / Sample,Type,Magnetite/Hematite,"Fe-Carbonates Mix (Ca, Si, Al, Mn, Mg)",Quartz,Stilpnomelane,Chlorite + Clay Minerals,Other Micas,K-Feldspar,Albite,Zircon,Calcite,Ankerite/Dolomite,Apatite,Monazite,Fluorite,Pyrite,Chalcopyrite,Pyrrhotite,Baryte,Ilmenite,Chromite,Rutile,Others,Total
87 - GVRD0267 Comp 4,Mags,98.10237761,0.20417432,1.13234017,0.00287745,0.17305973,0.00177033,0.00627996,0.00218497,0,0,0.00298382,0.01692937,0.0329136,0,0.00442247,0,0.00163056,0,0.00331477,0.0080104,0.01428094,0.29044951,100
88 - GVRD0267 Comp 5,Mags,97.63199059,0.26360076,1.48391281,0.00292889,0.28253857,0.00047954,0.00607452,0.00028613,0,0,0.00196401,0.01604361,0.02158807,0,0.00129326,0,0.00220537,0,0.00044518,0.02504162,0.01010575,0.2495013,100
89 - GVRD0267 Comp 6,Mags,97.69191712,0.25922065,1.4150076,0.0023788,0.23604174,0.00079209,0.00402609,0,0,0,0.00361072,0.0177789,0.02505543,0,0.00114041,0,0.00239308,0,0.00031744,0.01112781,0.01141105,0.3177811,100
90 - GVRD0267 Comp 7,Mags,98.61259866,0.18212697,0.78247029,0.00212895,0.16465712,0.00031824,0.00377015,0.00034968,0,0,0.00106666,0.01261242,0.02489625,0,0.00101452,0,0.00170734,0,0,0.01356509,0.01441535,0.18230232,100
91 - GVRD0267 Comp 8,Mags,97.22170293,0.25485295,1.78230845,0.0026145,0.23269504,0.00104728,0.0260725,0.00069135,0,0.00012377,0.00589025,0.0294599,0.02559996,0,0.05122808,0,0.00657729,0,0.00016766,0.01902185,0.0130263,0.32691992,100
92 - GVRD0267 Comp 9,Mags,97.62525493,0.28949603,1.6048512,0.00295998,0.16573196,0.00020945,0.03872681,0.00007313,0,0,0.00240396,0.02203,0.01649768,0,0.00139833,0,0.00520457,0,0.00015056,0.02388169,0.00784593,0.1932838,100
99 - GVRD0268 Comp 2,Mags,96.49764001,0.29738562,2.49882139,0.00572525,0.24288156,0.00657906,0.05167707,0.00493194,0,0,0.00028884,0.01780377,0.01659557,0,0.00286719,0,0.00337928,0.00165275,0.0005581,0.0156222,0.00930687,0.32628352,100
100 - GVRD0268 Comp 3,Mags,96.95843535,0.37150695,1.98330908,0.00297405,0.21420655,0.00156475,0.02514101,0.00159981,0,0,0.00064985,0.05116334,0.02117609,0,0.01682547,0,0.00309958,0,0.00007205,0.01028121,0.01131035,0.32668453,100
101 - GVRD0268 Comp 4,Mags,97.5853805,0.46772546,1.45613203,0.00339061,0.22993104,0.00194049,0.00085832,0.00266321,0,0.00034614,0.00003161,0.02207834,0.02352724,0,0.00874544,0,0.00319306,0,0.00369258,0.02914561,0.01033654,0.15088181,100
102 - GVRD0268 Comp 5,Mags,96.71290875,0.35920545,2.27384816,0.00384305,0.28852271,0.00048708,0.01579662,0.00040388,0,0,0.00026554,0.02859397,0.0171877,0,0.00293478,0,0.00584991,0,0.00051972,0.02261435,0.01435722,0.2526611,100
103 - GVRD0268 Comp 6,Mags,96.24450361,0.35984737,2.6186832,0.00644757,0.35324132,0.00479147,0.03307182,0.00350422,0,0.00009834,0.00141649,0.05413327,0.02249468,0,0.00184402,0,0.00156704,0,0.00009788,0.01406695,0.01088394,0.26930681,100
104 - GVRD0268 Comp 7,Mags,95.51295682,0.27086888,3.38832807,0.00856693,0.31861401,0.00279037,0.05430732,0.00058211,0,0,0.0005147,0.06595562,0.0241448,0,0.01253378,0,0.00327663,0,0.00016779,0.01123789,0.01278538,0.31236891,100
105 - GVRD0268 Comp 8,Mags,97.04112722,0.20559238,2.13868549,0.00486043,0.2138173,0.00531497,0.04142218,0.00425791,0,0,0.01451737,0.10425356,0.02310145,0,0,0,0.00235351,0,0.00019719,0.0033464,0.00882451,0.18832812,100
106 - GVRD0268 Comp 9,Mags,97.89752549,0.19889742,1.32297601,0.00353296,0.24921835,0.00028622,0.01961643,0.00127614,0,0.00009526,0.01008158,0.06257376,0.03620234,0,0.00480503,0,0.0011959,0,0.00049772,0.02137613,0.01178022,0.15806304,100
