FMG Training (Long List) / Sample,Type,Magnetite/Hematite,"Fe-Carbonates Mix (Ca, Si, Al, Mn, Mg)",Quartz,Stilpnomelane,Chlorite + Clay Minerals,Other Micas,K-Feldspar,Albite,Zircon,Calcite,Ankerite/Dolomite,Apatite,Monazite,Fluorite,Pyrite,Chalcopyrite,Pyrrhotite,Baryte,Ilmenite,Chromite,Rutile,Others,Total
62 - NSRD0797 Comp 14,Tails,1.51103694,8.9588451,50.15818553,12.06908008,21.74712897,0.00497735,2.18620771,0.00145274,0,0,0.59600974,0.9305491,0.06285812,0,0.40646878,0,0.05179822,0,0.20727074,0.01490149,0.04241982,1.05080958,100
69 - NSRD0796 Comp 2,Tails,15.45823368,11.3247703,55.33741249,0.37348888,10.33408148,0.03336079,4.5665219,0.07001139,0.00030858,0.00501559,0.04946044,0.76249003,0.03464999,0,0.1921338,0.0004026,0.03130577,0,0.00455924,0.01347156,0.0503598,1.35796168,100
70 - NSRD0796 Comp 3,Tails,1.81697257,13.44325189,61.86483287,0.32113463,12.31569254,0.01502613,7.08166159,0.17714386,0,0,0.42404767,1.19454002,0.03560603,0,0.2492958,0,0.0302543,0,0.00204453,0.00417693,0.05138207,0.97293658,100
71 - NSRD0796 Comp 4,Tails,0.88520204,14.05252313,65.19844563,0.17470435,12.22198166,0.01027088,4.24446622,0.10522828,0,0.00132711,0.73869624,1.29464244,0.02996143,0,0.1004447,0,0.01901417,0,0.00044849,0.00799249,0.03531936,0.87933138,100
72 - NSRD0796 Comp 5,Tails,1.1098637,20.61886638,57.22510117,0.21712768,13.24372907,0.01521793,4.19201632,0.36776817,0,0,0.79625411,0.93770448,0.03584111,0,0.18840737,0,0.02847273,0,0.00388034,0.01216853,0.04648976,0.96109115,100
73 - NSRD0796 Comp 6,Tails,3.3898479,27.71958004,50.68840266,0.2512867,7.42877305,0.02529842,4.83540559,2.24320292,0,0,0.45576763,1.22927341,0.04053072,0,0.15299736,0.00022185,0.02875423,0,0.00637541,0.01806497,0.03591865,1.4502985,100
74 - NSRD0796 Comp 7,Tails,2.24727478,20.43554322,57.96156937,0.25565626,8.40722335,0.04060466,4.00452536,2.73765532,0,0,0.5526194,1.1359637,0.028931,0,0.13377437,0.00014997,0.04026273,0,0.00030336,0.00292438,0.01556991,1.99944885,100
81 - GVRD0269 Comp 2,Tails,13.08666622,9.70138112,59.06198184,0.42302973,11.85408871,0.01338166,2.68006645,0.00508869,0,0.00021444,0.07418528,1.27249353,0.03549568,0,0.37563979,0,0.05762307,0,0.0045158,0.00874012,0.08538882,1.26001904,100
82 - GVRD0269 Comp 3,Tails,7.39727197,8.26222881,63.94438427,0.46298941,8.81681918,0.06540353,5.378999,0.00266834,0,0,0.89417475,1.60036533,0.04292552,0,0.26001416,0.00011719,0.03578243,0,0.00092191,0.01704507,0.06803901,2.74985013,100
83 - GVRD0269 Comp 4,Tails,2.29345946,18.22463762,51.64627229,1.44709862,20.93340067,0.00542133,2.35323792,0.0010644,0.00035643,0,0.01990784,1.40319598,0.0447406,0,0.52888561,0.00106241,0.08562573,0,0.0964198,0.01886804,0.10932963,0.78701561,100
