Mineral,Spinel_group,Hematite_group,Quartz,Chlorite_group,Dolomite_group,Calcite_group-Siderite,Calcite_group-Calcite,Pyrite_group,Rutile_group,K-Feldspar,Stilpnomelane,Mica_group,Plagioclase,Goethite,Smectite_group,Sepiolite,Kaolinite-serpentine_group,Pyroxene,Total,Unassigned_peak,report,Client_sample_ID,BV_sample_ID
18-44710181,,2,56,4,6,18,,,,2,12,,,,,,,,100,Tr,N9774XD21,44710181 NSRD0797 Comp 4 -53um DTR Tails,18-44710181
19-44710182,,2,53,6,5,19,,,,2,13,,,,,,,,100,Tr,N9774XD21,44710182 NSRD0797 Comp 8 -53um DTR Tails,19-44710182
20-44710183,,2,54,5,7,17,,,,4,12,,,,,,,,100,Tr,N9774XD21,44710183 NSRD0797 Comp 9 -53um DTR Tails,20-44710183
21-44710184,,3,61,0.5,8,13,,,,6,9,,,,,,,,100,Tr,N9774XD21,44710184 NSRD0797 Comp 13 -53um DTR Tails,21-44710184
22-44710185,,1,46,6,3,20,,,,3,22,,,,,,,,100,Tr,N9774XD21,44710185 NSRD0797 Comp 14 -53um DTR Tails,22-44710185
23-44710186,,11,47,6,3,10,,,,11,3,,3,6,,,,,100,Tr,N9774XD21,44710186 NSRD0799 Comp 5 -53um DTR Tails,23-44710186
24-44710187,,6,48,5,7,14,,,,10,6,,4,,,,,,100,Tr,N9774XD21,44710187 NSRD0799 Comp 6 -53um DTR Tails,24-44710187
25-44710188,,3,52,7,7,16,,,,6,5,,3,,,,,,100,Tr,N9774XD21,44710188 NSRD0799 Comp 10 -53um DTR Tails,25-44710188
26-44710189,,7,46,4,7,13,,,,12,7,,5,,,,,,100,Tr,N9774XD21,44710189 NSRD0799 Comp 12 -53um DTR Tails,26-44710189
27-44710190,,3,48,8,6,13,,,,14,8,,,,,,,,100,Tr,N9774XD21,44710190 NSRD0799 Comp 13 -53um DTR Tails,27-44710190
28-44710191,0.5,0.5,38,11,4,13,0.5,,,21,11,,,,,,,,100,Tr,N9774XD21,44710191 NSRD0799 Comp 14 -53um DTR Tails,28-44710191
29-44710192,1,0.5,41,10,4,16,1,,,13,13,,,,,,,,100,Tr,N9774XD21,44710192 NSRD0799 Comp 16 -53um DTR Tails,29-44710192
30-44710193,1,0.5,40,9,5,13,0.5,,,19,12,,,,,,,,100,Tr,N9774XD21,44710193 NSRD0799 Comp 17 -53um DTR Tails,30-44710193
31-44710194,1,4,53,6,7,14,0.5,,,5,5,,4,,,,,,100,Tr,N9774XD21,44710194 NSRD0800 Comp 4 -53um DTR Tails,31-44710194
32-44710195,1,0.5,45,10,3,16,0.5,,,14,10,,,,,,,,100,Tr,N9774XD21,44710195 NSRD0800 Comp 5 -53um DTR Tails,32-44710195
33-44710196,0.5,0.5,37,11,4,12,1,,,21,13,,,,,,,,100,Tr,N9774XD21,44710196 NSRD0800 Comp 6 -53um DTR Tails,33-44710196
34-44710197,0.5,0.5,38,12,4,14,0.5,,,16,13,,,,,,,,100,Tr,N9774XD21,44710197 NSRD0800 Comp 8 -53um DTR Tails,34-44710197
35-44710198,1,2,49,7,6,14,0.5,,,6,8,,4,,,,,,100,Tr,N9774XD21,44710198 NSRD0800 Comp 11 -53um DTR Tails,35-44710198
36-44710199,1,1,48,8,7,16,0.5,,,7,6,,4,,,,,,100,Tr,N9774XD21,44710199 NSRD0800 Comp 15 -53um DTR Tails,36-44710199
37-44710200,0.5,2,51,7,8,15,0.5,,,7,7,,,,,,,,100,Tr,N9774XD21,44710200 NSRD0801 Comp 3 -53um DTR Tails,37-44710200
38-44710201,0.5,1,55,6,8,17,1,,,5,7,,,,,,,,100,Tr,N9774XD21,44710201 NSRD0801 Comp 4 -53um DTR Tails,38-44710201
39-44710202,0.5,2,48,8,6,19,1,,,4,12,,,,,,,,100,Tr,N9774XD21,44710202 NSRD0801 Comp 5 -53um DTR Tails,39-44710202
40-44710203,1,1,37,10,6,20,0.5,,,5,19,,,,,,,,100,Tr,N9774XD21,44710203 NSRD0801 Comp 6 -53um DTR Tails,40-44710203
41-44710204,,0.5,42,9,6,15,1,,,7,18,,,,,,,,100,Tr,N9774XD21,44710204 NSRD0801 Comp 7 -53um DTR Tails,41-44710204
42-44710205,0.5,0.5,46,6,7,18,1,,,3,17,,,,,,,,100,Tr,N9774XD21,44710205 NSRD0801 Comp 8 -53um DTR Tails,42-44710205
43-44710206,,7,55,1,,33,,,,0.5,,3,,,,,,,100,Tr,N9774XD21,44710206 GVRD0268 Comp 2 -53um DTR Tails,43-44710206
44-44710207,0.5,2,60,4,,31,,,,1,,1,,,,,,,100,Tr,N9774XD21,44710207 GVRD0268 Comp 3 -53um DTR Tails,44-44710207
45-44710208,,3,64,8,,23,,,,0.5,,0.5,,,,,,,100,Tr,N9774XD21,44710208 GVRD0268 Comp 4 -53um DTR Tails,45-44710208
46-44710209,0.5,0.5,54,10,,33,0.5,,,,0.5,,,,,,,,100,Tr,N9774XD21,44710209 GVRD0268 Comp 5 -53um DTR Tails,46-44710209
47-44710210,0.5,9,62,3,,23,,,,0.5,,2,,,,,,,100,Tr,N9774XD21,44710210 GVRD0268 Comp 6 -53um DTR Tails,47-44710210
48-44710211,0.5,11,62,2,,21,,,,0.5,,3,,,,,,,100,Tr,N9774XD21,44710211 GVRD0268 Comp 7 -53um DTR Tails,48-44710211
49-44710212,,10,63,3,7,15,,,,,,2,,,,,,,100,Tr,N9774XD21,44710212 GVRD0268 Comp 8 -53um DTR Tails,49-44710212
50-44710213,,6,60,6,7,20,,,,0.5,,0.5,,,,,,,100,Tr,N9774XD21,44710213 GVRD0268 Comp 9 -53um DTR Tails,50-44710213
1-44710245,27,13,42,3,,12,,,0.5,,,,,3,,,,,100,Tr,N9821XD21,NSRD0796 Comp 2 -53um DTR Feed,1-44710245
2-44710246,40,2,38,5,0.5,14,,,0.5,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0796 Comp 3 -53um DTR Feed,2-44710246
3-44710247,39,1,40,4,2,13,,,0.5,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0796 Comp 4 -53um DTR Feed,3-44710247
4-44710248,34,0.5,35,6,2,21,,,0.5,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 5 -53um DTR Feed,4-44710248
5-44710249,28,0.5,35,3,1,29,,,0.5,,,,2,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 6 -53um DTR Feed,5-44710249
6-44710250,35,2,38,3,2,20,,,0.5,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 7 -53um DTR Feed,6-44710250
