Mineral,Spinel_group,Hematite_group,Quartz,Chlorite_group,Dolomite_group,Calcite_group-Siderite,Calcite_group-Calcite,Pyrite_group,Rutile_group,K-Feldspar,Stilpnomelane,Mica_group,Plagioclase,Goethite,Smectite_group,Sepiolite,Kaolinite-serpentine_group,Pyroxene,Total,Unassigned_peak,report,Client_sample_ID,BV_sample_ID
13-0046,30,6,42,0.5,,21,,,,,,0.5,,,,,,,100,Tr,N9606XD21,GVRD0268 Comp 2 -53um DTR Feed,13-0046
14-0047,32,1,41,3,,22,,0.5,,,,0.5,,,,,,,100,Tr,N9606XD21,GVRD0268 Comp 3 -53um DTR Feed,14-0047
15-0048,37,2,40,5,,15,,0.5,,,,,,,,,,,100,Tr,N9606XD21,GVRD0268 Comp 4 -53um DTR Feed,15-0048
16-0049,26,,41,8,,25,,,,,0.5,,,,,,,,100,Tr,N9606XD21,GVRD0268 Comp 5 -53um DTR Feed,16-0049
17-0050,35,6,40,2,,16,,0.5,0.5,,,0.5,,,,,,,100,Tr,N9606XD21,GVRD0268 Comp 6 -53um DTR Feed,17-0050
18-0051,38,7,39,1,,13,,,0.5,,,0.5,,,,,,,100,Tr,N9606XD21,GVRD0268 Comp 7 -53um DTR Feed,18-0051
19-0052,39,6,38,2,5,9,,,0.5,,,0.5,,,,,,,100,Tr,N9606XD21,GVRD0268 Comp 8 -53um DTR Feed,19-0052
20-0053,35,4,38,4,6,13,,,,,,0.5,,,,,,,100,Tr,N9606XD21,GVRD0268 Comp 9 -53um DTR Feed,20-0053
1-710001 ,34,1,32,3,1,17,,,,,,12,,,,,,,100,Tr,N9519XD21,44710001 NSRD0798 comp 3 - 53um DTR,1-710001 
2-710017 ,28,0.5,33,8,2,19,0.5,,,,,8,,,,,,,100,Tr,N9519XD21,44710017  NSRD0797 comp 3 - 53um DTR,2-710017 
3-710002 ,36,1,31,3,5,11,,,,2,,11,,,,,,,100,Tr,N9519XD21,44710002 NSRD0798 comp 4 - 53um DTR,3-710002 
4-710018 ,34,1,35,3,5,13,,,,1,,8,,,,,,,100,Tr,N9519XD21,44710018 NSRD0797 comp 4 - 53um DTR,4-710018 
5-710009 ,21,12,37,5,2,9,,,,9,,3,2,,,,,,100,Tr,N9519XD21,44710009 NSRD0799 comp 5 - 53um DTR,5-710009 
6-710003 ,36,2,32,0.5,8,9,,,,7,,7,,,,,,,100,Tr,N9519XD21,44710003 NSRD0798 comp 5 - 53um DTR,6-710003 
7-710010 ,28,4,33,4,5,11,0.5,,,7,,4,2,,,,,,100,Tr,N9519XD21,44710010 NSRD0799 comp 6 - 53um DTR,7-710010 
8-710004 ,29,1,34,3,8,11,0.5,,,,,14,,,,,,,100,Tr,N9519XD21,44710004 NSRD0798 comp 6 - 53um DTR,8-710004 
9-710005 ,21,1,31,3,3,18,0.5,,,,,21,,,,,,,100,Tr,N9519XD21,44710005 NSRD0798 comp 7 - 53um DTR,9-710005 
10-710019 ,35,1,34,4,3,14,0.5,,,,,8,,,,,,,100,Tr,N9519XD21,44710019 NSRD0797 comp 8 - 53um DTR,10-710019 
11-710006 ,22,1,29,3,2,18,2,,,,,22,,,,,,,100,Tr,N9519XD21,44710006 NSRD0798 comp 8 - 53um DTR,11-710006 
12-710020 ,39,2,32,3,4,11,0.5,,,2,,7,,,,,,,100,Tr,N9519XD21,44710020 NSRD0797 comp 9 - 53um DTR,12-710020 
13-710007 ,15,1,26,4,4,19,3,,,,,27,2,,,,,,100,Tr,N9519XD21,44710007 NSRD0798 comp 9 - 53um DTR,13-710007 
14-710011 ,30,3,35,5,5,12,0.5,,,5,,4,1,,,,,,100,Tr,N9519XD21,44710011 NSRD0799 comp 10 - 53um DTR,14-710011 
15-710008 ,24,1,29,4,7,12,0.5,,,,,22,,,,,,,100,Tr,N9519XD21,44710008 NSRD0798 comp 10 - 53um DTR,15-710008 
16-710012 ,28,5,31,3,4,10,,,,9,,6,2,,,,,2,100,Tr,N9519XD21,44710012 NSRD0799 comp 12 - 53um DTR,16-710012 
17-710013 ,25,2,32,7,5,11,0.5,,,10,,7,0.5,,,,,,100,Tr,N9519XD21,44710013 NSRD0799 comp 13 - 53um DTR,17-710013 
18-710021 ,41,2,34,0.5,4,9,0.5,,,4,,5,,,,,,,100,Tr,N9519XD21,44710021 NSRD0797 comp 13 - 53um DTR,18-710021 
19-710014 ,16,0.5,31,9,4,12,0.5,,,16,,11,,,,,,,100,Tr,N9519XD21,44710014 NSRD0799 comp 14 - 53um DTR,19-710014 
20-710022 ,26,1,32,5,2,16,0.5,,,,,16,,,,,,,100,Tr,N9519XD21,44710022 NSRD0797 comp 14 - 53um DTR,20-710022 
21-710015 ,17,1,31,9,3,15,0.5,,,12,,12,,,,,,,100,Tr,N9519XD21,44710015 NSRD0799 comp 16 - 53um DTR,21-710015 
22-710016 ,16,1,30,10,4,12,0.5,,,15,,11,,,,,,,100,Tr,N9519XD21,44710016 NSRD0799 comp 17 - 53um DTR,22-710016 
