HoleID,Depth,O,Fe,Si,Al,K,C,Mg,Ca,Mn,S,H,P,Ti,Fe,Na,Cr,Unspecified,Quartz(Fe),Magnetite/Hm,Stilpnomelane,FeMnMg Carbonate Quartz Mix,Orthoclase,Chlorite,Ankerite,Siderite,Apatite,Pyrite,Albite,Carbonate Quartz Mix,Biotite,Rutile,Chromite,Calcite,Ilmenite,Muscovite,[Unclassified],The rest,Total,Fe,SiO2,Al2O3,TiO2,Mn,CaO,P,S,MgO,K2O,Zn,Pb,Cu,Cr,Ni,Co,Na2O,BaO,V2O5,Cl,Sn,Sr,Zr,LOI1000,Fe3O4,Quartz,Stilpnomelane,Hematite,Magnetite,Siderite,Feldspar (Microcline),Felspar (Orthoclase),Chlorite (Chamosite),Ankerite,Albite
NSRD0797-2,,39.55,35.33,15.99,0.23,0.13,2.96,1.04,0.76,0.82,0.01,0.03,0.03,0,0.01,0,0,3.11,29.15,34.31,4.28,25.03,0.00,0.52,2.84,0.12,0.18,0.01,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,3.11,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0797-3,,43.51,26.18,16.7,0.09,0.06,6.73,2,0.88,1.91,0,0.01,0.01,0,0,0,0,1.91,28.09,2.84,2.05,60.84,0.00,0.04,3.60,0.05,0.06,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,1.91,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0797-4,,39.66,33.21,15.21,0.5,0.15,3.83,1.7,0.18,1.08,0.01,0.07,0.08,0,0.02,0,0,4.31,25.38,24.70,4.75,36.24,0.00,3.21,0.01,0.92,0.41,0.02,0.00,0.04,0.00,0.00,0.01,0.00,0.00,0.00,4.31,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0797-5,,41.58,26.58,19.15,1.05,0.52,4.06,2.14,0.01,1.13,0.05,0.14,0,0.02,0,0,0.01,3.55,27.80,8.79,16.55,38.02,0.00,3.64,0.03,1.44,0.02,0.09,0.00,0.01,0.00,0.04,0.02,0.00,0.01,0.00,3.55,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0797-6,,38.71,24.71,19.9,2.67,1.13,0.61,2.96,1.48,0.11,0.16,0.37,0.61,0.23,0.13,0,0.02,6.18,20.90,14.51,36.14,3.85,0.00,12.15,0.00,1.58,3.33,0.31,0.00,0.52,0.00,0.34,0.09,0.00,0.10,0.00,6.18,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0797-7,,40.65,24.42,19.19,1.37,0.38,3.26,2.6,0,0.84,0.39,0.2,0,0.03,0,0,0.01,6.67,29.28,10.04,12.27,28.14,0.00,9.29,0.00,3.47,0.01,0.72,0.00,0.00,0.00,0.04,0.05,0.00,0.01,0.00,6.67,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0797-8,,40.22,24.6,20.31,3.9,1.23,0.16,4.8,0,0.03,0.12,0.55,0,0.26,0,0,0.03,3.78,17.01,13.18,39.45,0.94,0.00,24.15,0.00,0.66,0.00,0.22,0.00,0.00,0.00,0.38,0.12,0.00,0.11,0.00,3.78,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0797-9,,38.49,37.85,17.29,0.63,0.36,1.15,0.86,0.26,0.32,0.01,0.09,0.09,0.01,0.02,0,0,2.57,29.81,42.99,11.51,10.45,0.00,1.48,0.21,0.35,0.48,0.02,0.00,0.11,0.00,0.01,0.01,0.00,0.00,0.00,2.57,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0797-10,,41.58,21.22,20.17,4.87,1.28,0.29,6.43,0,0.07,0.13,0.69,0,0.28,0,0,0.03,2.95,12.85,5.50,40.81,2.48,0.00,34.21,0.00,0.29,0.00,0.24,0.00,0.00,0.00,0.40,0.13,0.00,0.13,0.00,2.95,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0797-11,,38.21,27.17,20.62,4.01,2.43,0.08,3.42,0.01,0.02,0.21,0.49,0,0.06,0,0,0.02,3.25,9.34,11.10,59.22,0.58,4.06,11.58,0.04,0.18,0.00,0.39,0.00,0.00,0.06,0.10,0.08,0.00,0.01,0.00,3.25,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0797-12,,36.4,22.45,14.36,2.05,1.47,3.11,2.19,3.33,0.67,0.01,0.23,1.41,0.01,0.29,0,0,12.02,10.34,2.49,28.36,22.30,4.03,4.64,0.15,6.88,7.67,0.01,0.00,0.85,0.23,0.01,0.01,0.00,0.00,0.00,12.02,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0797-13,,38.62,28.55,21.29,2.5,1.71,1.26,2.08,0.06,0.35,0.21,0.33,0.02,0.04,0,0,0.01,2.97,17.54,10.58,54.52,11.68,0.00,1.58,0.10,0.43,0.09,0.40,0.00,0.02,0.00,0.05,0.04,0.00,0.01,0.00,2.97,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0797-14,,39.06,32.72,19.05,1.31,1.12,0.74,0.95,1.23,0.2,0.01,0.12,0.53,0.07,0.11,0,0,2.77,28.63,35.68,16.37,6.64,4.32,1.96,0.04,0.23,2.87,0.02,0.00,0.27,0.05,0.10,0.02,0.00,0.03,0.00,2.77,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0797-15,,36.15,26.47,19.03,3.21,1.5,0.39,3.31,0.01,0.08,1.51,0.44,0,0.14,0,0,0.03,7.74,13.56,11.37,47.82,2.61,0.01,12.57,0.04,1.11,0.00,2.83,0.00,0.00,0.00,0.21,0.10,0.00,0.03,0.00,7.74,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0797-16,,40.57,27.57,21.76,2.06,1.68,1.41,1.66,0.06,0.4,0.03,0.2,0.02,0.04,0,0,0.01,2.53,27.24,20.02,26.81,13.28,5.98,3.44,0.06,0.29,0.12,0.06,0.00,0.02,0.05,0.06,0.02,0.00,0.01,0.00,2.53,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-1,,37.37,41.15,13.28,0.69,0.5,2.32,1.11,0.36,0.66,0.01,0.09,0.16,0.01,0.03,0,0,2.25,18.68,40.45,14.47,22.32,0.34,0.29,0.00,0.18,0.84,0.01,0.00,0.10,0.03,0.02,0.01,0.00,0.00,0.00,2.25,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-2,,48.17,11.31,33.13,0.2,0.15,2.71,0.89,0.99,0.73,0.11,0.03,0.01,0,0,0,0,1.57,65.99,1.56,4.69,21.41,0.00,0.00,3.65,0.01,0.06,0.20,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00,1.57,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-3,,40.33,32.46,20.08,0.9,0.63,0.9,0.97,0.86,0.25,0,0.09,0.34,0.12,0.07,0,0,1.99,35.35,37.79,8.09,8.04,2.67,3.23,0.29,0.17,1.83,0.01,0.00,0.25,0.03,0.16,0.01,0.00,0.08,0.00,1.99,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-4,,40.14,33.76,19.04,0.51,0.38,1.97,0.91,0.31,0.56,0.01,0.06,0.13,0.01,0.03,0,0,2.18,33.54,33.75,9.50,18.90,0.54,0.49,0.00,0.20,0.72,0.01,0.00,0.07,0.06,0.02,0.01,0.00,0.01,0.00,2.18,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-5,,40.31,32.8,20.11,0.65,0.75,1.32,0.57,0.42,0.37,0.01,0.03,0.13,0.01,0.03,0,0,2.49,36.62,38.25,4.24,11.93,4.37,0.43,0.60,0.16,0.70,0.01,0.00,0.09,0.08,0.02,0.02,0.00,0.00,0.00,2.49,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-6,,39.08,36.71,15.22,0.36,0.35,1.85,0.69,2.79,0.42,0,0.03,0.07,0,0.01,0,0,2.42,28.76,45.90,4.39,3.23,1.48,0.24,12.28,0.02,0.36,0.01,0.00,0.87,0.04,0.01,0.01,0.00,0.00,0.00,2.42,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-7,,37.46,40.05,15.25,0.82,0.95,0.93,0.51,0.72,0.25,0.01,0.04,0.21,0,0.05,0,0.01,2.72,24.97,49.78,6.94,7.54,5.08,0.17,1.13,0.11,1.15,0.02,0.00,0.14,0.23,0.00,0.02,0.00,0.00,0.00,2.72,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-8,,30.05,30.16,5.62,0.72,0.35,5.82,1.91,0.02,1.22,2.74,0.1,0.01,0.06,0,0,0.01,21.22,1.51,1.76,11.20,40.88,0.00,2.55,0.02,15.55,0.05,5.13,0.00,0.00,0.00,0.09,0.04,0.00,0.01,0.00,21.22,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-9,,36.02,27.58,20.32,3.35,2.29,0.69,2.45,0.04,0.15,0.25,0.44,0,0.12,0,0,0.03,6.26,7.09,3.94,73.21,4.90,0.00,1.96,0.17,1.65,0.01,0.47,0.00,0.00,0.00,0.19,0.12,0.00,0.03,0.00,6.26,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-10,,35.51,26.18,15.28,1.77,1.15,3.35,2.16,0.69,0.86,0.51,0.24,0.26,0.08,0.05,0,0.02,11.91,11.23,3.06,36.83,28.67,0.00,1.89,0.21,3.31,1.38,0.95,0.00,0.33,0.00,0.12,0.09,0.00,0.02,0.00,11.91,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-11,,51.84,3.5,44.23,0,0,0.12,0.03,0.05,0.03,0,0,0,0,0,0,0,0.2,94.32,4.33,0.04,0.87,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-12,,49.15,8.4,23.68,0.11,0.08,5.5,1.66,9.63,1.2,0,0.01,0.05,0,0.01,0,0,0.52,48.59,0.41,2.58,0.00,0.00,0.00,44.96,0.00,0.25,0.00,0.00,2.69,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-13,,48.89,7.78,34.84,0.76,0.5,1.73,1.04,3.24,0.37,0.01,0.1,0.09,0.01,0.02,0,0,0.61,66.08,0.87,16.06,0.09,0.00,0.74,13.68,0.01,0.48,0.02,0.00,1.34,0.00,0.01,0.02,0.00,0.00,0.00,0.61,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-14,,41.04,35.38,22.17,0.12,0.07,0.2,0.16,0.39,0.04,0,0.02,0.02,0,0,0,0,0.37,46.15,49.08,2.26,0.03,0.00,0.26,1.61,0.01,0.13,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-15,,52.89,0.45,46.31,0,0,0.09,0.02,0.14,0.02,0,0,0,0,0,0,0,0.08,98.79,0.29,0.05,0.20,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-16,,44.51,22.82,28.25,0.48,0.34,1.42,0.71,0.19,0.4,0.01,0.06,0.04,0,0.01,0,0,0.74,53.64,20.65,11.00,13.12,0.00,0.01,0.52,0.04,0.20,0.02,0.00,0.05,0.00,0.00,0.01,0.00,0.00,0.00,0.74,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-17,,37.25,30.78,15.19,2.32,1.67,3.89,2.58,0.02,1.1,0.04,0.31,0,0.01,0,0,0.01,4.82,2.83,0.91,53.36,37.03,0.00,0.14,0.04,0.74,0.02,0.07,0.00,0.01,0.00,0.01,0.02,0.00,0.00,0.00,4.82,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-18,,34.57,25.05,18.35,3.13,1.96,1.21,2.58,0.01,0.17,0.12,0.42,0,0.1,0,0,0.03,12.32,7.14,1.18,62.51,5.55,0.00,4.63,0.02,6.14,0.02,0.22,0.00,0.00,0.00,0.15,0.10,0.00,0.02,0.00,12.32,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-19,,37.64,39.29,16.55,0.5,0.3,0.86,0.64,0.34,0.22,0.01,0.07,0.02,0,0,0,0,3.57,29.77,47.92,9.58,6.32,0.00,0.90,1.38,0.34,0.08,0.01,0.00,0.12,0.00,0.00,0.01,0.00,0.00,0.00,3.57,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-20,,36.76,26.06,20.13,3.1,2.2,1.38,2.38,0.73,0.35,0.05,0.41,0.11,0.07,0.02,0,0.03,6.22,7.94,0.90,70.21,9.88,0.00,0.62,2.15,0.91,0.62,0.09,0.00,0.23,0.00,0.11,0.10,0.00,0.02,0.00,6.22,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-21,,47.62,10.56,37.24,1.26,0.9,0.41,0.93,0.42,0.1,0,0.17,0,0.01,0,0,0,0.37,65.46,1.49,28.65,1.72,0.00,0.23,1.87,0.01,0.01,0.01,0.00,0.17,0.00,0.02,0.00,0.00,0.00,0.00,0.37,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-22,,37.65,25.7,22.01,3.58,2.32,0.55,2.8,0.45,0.13,0.55,0.48,0,0.09,0,0,0.03,3.66,9.93,1.96,74.04,2.33,0.00,4.09,2.29,0.37,0.01,1.03,0.00,0.01,0.00,0.15,0.12,0.00,0.01,0.00,3.66,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-23,,40.89,30.04,20.32,0.61,0.39,2.12,1.07,1.03,0.56,0.01,0.08,0.01,0,0,0,0,2.85,35.58,28.24,12.42,14.64,0.00,0.79,4.84,0.32,0.07,0.02,0.00,0.20,0.00,0.00,0.02,0.00,0.00,0.00,2.85,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-24,,38.87,34.93,15.43,1.18,0.84,3.51,1.78,0.03,1.01,0.01,0.16,0.01,0,0,0,0,2.24,16.39,20.12,26.83,33.88,0.00,0.23,0.02,0.19,0.05,0.02,0.00,0.03,0.00,0.00,0.01,0.00,0.00,0.00,2.24,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-25,,37.97,26.21,19.79,2.38,1.65,1.94,2.17,0.97,0.52,0.14,0.32,0.03,0.05,0.01,0,0.01,5.85,15.20,6.32,52.65,13.22,0.00,1.13,4.58,0.45,0.17,0.26,0.00,0.05,0.00,0.08,0.04,0.00,0.01,0.00,5.85,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-26,,38.92,34.88,17.61,0.94,0.64,1.78,1.16,0.81,0.48,0.01,0.12,0.03,0,0.01,0,0,2.59,26.17,33.12,20.43,12.97,0.00,0.61,3.53,0.17,0.19,0.02,0.00,0.18,0.00,0.00,0.01,0.00,0.00,0.00,2.59,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0798-27,,52.61,0.13,44.96,0,0,0.41,0,1.36,0,0,0,0,0,0,0,0,0.51,95.98,0.01,0.06,0.01,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,3.37,0.00,0.00,0.51,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0799-1,,40.82,31.5,21.68,0.62,0.55,0.85,0.59,0.35,0.23,0.02,0.04,0.03,0,0.01,0.02,0.01,2.69,41.48,39.50,2.84,6.35,3.20,1.72,1.40,0.22,0.14,0.04,0.21,0.08,0.09,0.01,0.03,0.00,0.00,0.00,2.69,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0799-2,,40.43,32.89,21.15,0.39,0.17,0.85,0.67,0.02,0.24,0.01,0.04,0.01,0,0,0.01,0,3.11,42.08,41.27,1.76,8.08,0.80,2.45,0.01,0.18,0.04,0.01,0.14,0.01,0.03,0.00,0.01,0.00,0.00,0.00,3.11,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0799-3,,43.73,10.35,27.53,6,8.34,0.49,0.57,0,0.12,0.09,0.06,0,0.15,0.01,0,0.06,2.49,17.36,8.71,6.75,4.00,57.43,1.13,0.00,0.78,0.00,0.17,0.01,0.00,0.68,0.25,0.21,0.00,0.02,0.00,2.49,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0799-5,,36.04,40.11,14.38,0.31,0.31,1.14,0.45,0.13,0.33,0,0.02,0.06,0,0.01,0.02,0,6.7,27.13,50.31,2.16,10.99,1.67,0.34,0.00,0.08,0.30,0.00,0.22,0.03,0.06,0.00,0.00,0.00,0.00,0.00,6.70,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0799-6,,39.56,33.54,21.33,0.2,0.22,0.39,0.16,0.17,0.11,0,0.01,0.05,0,0.01,0.01,0,4.23,43.54,45.30,1.45,3.48,1.24,0.09,0.11,0.02,0.27,0.01,0.09,0.14,0.03,0.00,0.01,0.00,0.00,0.00,4.23,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0799-7,,38.44,36.13,18.03,0.25,0.18,0.98,0.47,0.41,0.27,0.02,0.02,0.07,0,0.01,0,0,4.71,35.82,45.91,1.92,8.04,0.82,0.91,1.05,0.14,0.38,0.03,0.04,0.18,0.04,0.00,0.01,0.00,0.00,0.00,4.71,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0799-8,,42.45,10.89,24.81,7.46,10.5,0.22,0.62,0.37,0.05,0,0.06,0,0.07,0.02,0.01,0,2.47,2.04,11.83,7.08,0.01,71.89,0.60,1.89,0.01,0.01,0.00,0.13,0.00,1.91,0.12,0.00,0.00,0.00,0.00,2.47,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0799-9,,45.89,4.41,32.1,4.98,6.46,0.48,0.96,0.82,0.1,0.13,0.1,0,0.21,0,0,0.02,3.33,34.32,0.15,10.29,0.00,43.44,3.25,3.94,0.03,0.01,0.25,0.04,0.16,0.33,0.32,0.06,0.00,0.07,0.02,3.33,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0799-10,,42.52,11.6,28.87,4.55,4.81,0.17,1.88,0.25,0.04,0.14,0.27,0,0.21,0.01,0.02,0.01,4.64,25.97,0.07,35.32,0.13,25.84,4.93,1.21,0.11,0.02,0.26,0.19,0.04,0.84,0.33,0.04,0.00,0.04,0.01,4.64,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0799-11,,40.6,14.84,26.3,4.56,4.38,0.21,2.32,0.34,0.05,0.38,0.34,0,0.21,0.01,0.02,0.01,5.45,18.84,0.01,45.30,0.06,20.54,5.88,1.67,0.07,0.02,0.71,0.19,0.01,0.84,0.33,0.02,0.00,0.05,0.00,5.45,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0799-12,,49.95,3.26,42.22,0.84,0.71,0.02,0.54,0.04,0.01,0.38,0.07,0,0.03,0,0,0,1.92,83.40,0.00,8.70,0.02,3.02,1.81,0.18,0.02,0.00,0.71,0.00,0.00,0.16,0.05,0.01,0.00,0.01,0.00,1.92,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0800-1,,38.48,39.89,17.94,0.52,0.49,0.1,0.33,0.05,0.02,0,0.03,0.02,0,0,0,0,2.11,34.99,55.57,1.33,0.76,3.13,1.65,0.04,0.14,0.10,0.00,0.03,0.03,0.10,0.00,0.01,0.00,0.00,0.00,2.11,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0800-2,,40.05,31.17,20.49,0.39,0.26,1.35,0.64,0.61,0.36,0.01,0.03,0.07,0,0.01,0.03,0,4.51,40.00,36.20,3.56,10.29,1.03,1.01,2.22,0.18,0.38,0.01,0.37,0.20,0.04,0.00,0.01,0.00,0.00,0.00,4.49,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0800-3,,40.83,28.78,19.1,0.26,0.15,2.53,0.96,1.93,0.66,0,0.03,0.14,0,0.03,0.01,0,4.59,37.28,29.91,1.82,15.32,0.65,1.16,7.57,0.23,0.79,0.01,0.13,0.50,0.03,0.00,0.01,0.00,0.00,0.00,4.59,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0800-4,,38.3,35.15,16.9,0.22,0.09,1.81,0.74,0.41,0.51,0,0.03,0.18,0,0.04,0.01,0,5.62,32.75,39.68,1.99,17.29,0.20,1.10,0.00,0.21,0.98,0.00,0.10,0.08,0.01,0.00,0.00,0.00,0.00,0.00,5.62,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0800-5,,41.18,24.29,20.85,1.52,1.42,2.96,1.6,0.07,0.75,0.09,0.11,0.03,0.04,0.01,0.01,0.02,5.04,29.92,12.38,13.40,25.36,6.83,2.67,0.00,3.34,0.17,0.17,0.07,0.01,0.48,0.05,0.08,0.00,0.03,0.00,5.04,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0800-6,,42.26,17.79,22.18,1.68,0.93,3.47,2.57,0.03,0.88,1.11,0.17,0.02,0.08,0,0.01,0.05,6.78,34.77,0.72,6.35,29.45,5.13,9.83,0.00,4.25,0.08,2.08,0.10,0.00,0.14,0.10,0.18,0.00,0.04,0.00,6.78,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0800-7,,44.65,6.47,31.92,5.19,6.53,0.02,1.1,0.03,0,0.19,0.15,0,0.18,0.01,0,0.01,3.54,30.62,0.00,19.69,0.00,41.48,2.81,0.12,0.05,0.01,0.36,0.06,0.01,0.88,0.29,0.03,0.00,0.03,0.01,3.54,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0800-8,,42.11,9.5,29.03,4.99,5.69,0.02,1.61,0.04,0,0.2,0.23,0,0.22,0.01,0.04,0,6.3,24.36,0.00,29.40,0.00,33.14,4.14,0.12,0.05,0.01,0.37,0.46,0.02,1.24,0.35,0.00,0.00,0.04,0.00,6.30,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0800-9,,42.2,9.08,28.46,5.26,6.39,0.22,1.42,0.38,0.05,0.28,0.2,0,0.23,0.01,0,0,5.82,21.30,0.00,27.30,0.00,38.63,2.87,1.85,0.04,0.01,0.53,0.01,0.05,1.21,0.36,0.00,0.00,0.04,0.00,5.82,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0800-10,,26.68,23.06,17.48,3.9,4.78,0.06,0.84,0.13,0.01,17.38,0.16,0.02,0.1,0.01,0,0.01,5.4,6.40,0.00,26.20,0.02,27.96,0.41,0.46,0.01,0.09,32.51,0.00,0.01,0.29,0.16,0.03,0.00,0.02,0.00,5.40,0.01,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0800-11,,43.51,8.95,29.77,4.44,4.26,0.07,2.4,0.1,0.01,0.33,0.28,0,0.24,0.01,0,0.02,5.57,32.58,0.01,24.12,0.01,24.56,10.71,0.46,0.13,0.02,0.62,0.03,0.02,0.63,0.36,0.07,0.00,0.08,0.00,5.57,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0800-12,,41.39,19.59,23.35,2.49,1.61,2.11,2.64,0.04,0.56,0.29,0.28,0.02,0.13,0.01,0,0.09,5.4,28.02,2.13,29.60,18.88,4.74,8.15,0.00,1.65,0.10,0.55,0.00,0.01,0.18,0.16,0.35,0.00,0.11,0.00,5.40,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
