HoleID,Depth,O,Fe,Si,Al,K,C,Mg,Ca,Mn,S,H,P,Ti,Fe,Na,Cr,Unspecified,Quartz(Fe),Magnetite/Hm,Stilpnomelane,FeMnMg Carbonate Quartz Mix,Orthoclase,Chlorite,Ankerite,Siderite,Apatite,Pyrite,Albite,Carbonate Quartz Mix,Biotite,Rutile,Chromite,Calcite,Ilmenite,Muscovite,[Unclassified],The rest,Total,Fe,SiO2,Al2O3,TiO2,Mn,CaO,P,S,MgO,K2O,Zn,Pb,Cu,Cr,Ni,Co,Na2O,BaO,V2O5,Cl,Sn,Sr,Zr,LOI1000,Fe3O4,Quartz,Stilpnomelane,Hematite,Magnetite,Siderite,Feldspar (Microcline),Felspar (Orthoclase),Chlorite (Chamosite),Ankerite,Albite
NSD0037-11,183.13,40.23,18.27,24.85,5.69,5.99,0.01,2.15,0.03,0,0,0.37,0,0.1,0.01,0.01,0,2.28,5.72,2.16,54.94,0.00,30.10,3.82,0.10,0.01,0.02,0.01,0.17,0.00,0.47,0.16,0.02,0.00,0.00,0.00,2.28,0.00,100.00,7,72.6,6.32,0.07,0.04,0.68,0.04,0.75,2.6,4.1,0.011,0.003,0.004,0.005,0.006,0.005,0.256,0.062,0.004,0.002,0.005,0.011,0.015,2.47,1.55,46.6,13.4,0,0.8,0,25.5,,7.7,4.7,0.4
NSD0037-12,183.325,44.75,5.94,30.47,6.48,8.83,0.09,0.63,0.16,0.02,0.05,0.09,0,0.11,0,0,0.02,2.36,19.86,2.68,12.35,0.00,59.82,1.36,0.77,0.01,0.01,0.10,0.03,0.01,0.38,0.18,0.06,0.00,0.01,0.00,2.36,0.00,100.00,7.82,59.38,13.8,0.46,0.03,0.36,0.01,0.17,2.47,10.1,0.014,0.004,0.006,0.062,0.02,0.004,0.212,0.083,0.015,0.002,0.011,0.009,0.023,1.94,4.01,13.1,5.6,0,4.3,0,59.3,,14.1,3.2,0.3
NSD0037-13,183.64,45.89,4.63,31.4,5.33,6.84,0.43,1.12,0.69,0.1,0.15,0.11,0,0.15,0,0,0.04,3.12,31.66,1.61,6.89,0.13,47.01,5.06,3.45,0.04,0.01,0.29,0.04,0.06,0.23,0.24,0.13,0.00,0.01,0.00,3.12,0.00,100.00,6.46,62.55,12.35,0.55,0.06,0.97,0.01,0.34,2.31,9.02,0.012,0.005,0.008,0.088,0.029,0.006,0.124,0.055,0.019,0.001,0.011,0.01,0.013,2.58,2.78,22.5,2.3,0,2.4,0,53.5,,13.1,5.8,0.3
NSD0037-14,184.625,41.13,18.35,26.26,1.96,1.28,0.31,1.41,1.46,0.06,0.05,0.19,0.55,0.02,0.11,0.12,0.02,6.72,39.58,14.30,23.18,1.88,3.84,4.59,0.01,0.26,2.99,0.09,1.46,0.87,0.11,0.04,0.06,0.00,0.00,0.00,6.72,0.00,100.00,24.58,38.47,3.93,0.18,0.77,2.28,0.7,0.26,4.77,0.92,0.007,0.002,0.005,0.027,0.014,0.003,0.298,0.016,0.011,0.002,0.003,0.019,0.004,11.38,11,27.1,6.6,0.1,10.6,34.1,5,,14.5,0,1.9
NSD0037-15,184.885,33.37,38.57,12.68,0.67,0.41,1.2,0.74,0.01,0.34,0.01,0.07,0,0,0,0.07,0,11.85,19.50,43.93,11.15,11.31,0.41,0.62,0.00,0.32,0.00,0.02,0.82,0.00,0.04,0.01,0.01,0.00,0.00,0.00,11.85,0.00,100.00,39.05,27.56,1.32,0.09,0.62,1.82,0.53,0.04,2.87,0.31,0.003,-0.001,0.004,0.008,0.005,0.001,0.175,0.006,0.012,0.001,0.002,0.011,0.002,7.55,26.4,20.7,9.2,9.7,28,22.5,1.7,,4.1,0,0.9
NSD0037-16,185.045,35.88,37.39,15.14,0.52,0.17,0.92,0.84,0.01,0.25,0,0.06,0,0.01,0,0.03,0,8.79,28.42,46.59,3.15,8.25,0.45,3.26,0.00,0.67,0.01,0.00,0.35,0.00,0.04,0.02,0.01,0.00,0.00,0.00,8.79,0.00,100.00,38.34,34.77,2,0.07,0.49,0.06,0.01,0.01,2.3,0.46,0.003,-0.001,0.001,0.014,0.006,0.003,0.173,0.007,0.013,0.001,-0.001,0.006,0.002,4.21,40,29.9,2,0.2,42.2,13,2.5,,8.8,0,1.3
NSD0037-17,185.105,37.79,34.25,18.68,0.63,0.32,0.43,0.74,0.01,0.11,0,0.07,0,0.01,0,0.02,0,6.94,35.70,44.57,3.26,3.64,1.50,3.45,0.00,0.53,0.01,0.01,0.25,0.00,0.11,0.01,0.01,0.00,0.00,0.00,6.94,0.00,100.00,38.93,34.04,1.83,0.07,0.51,0.08,0.01,0.01,2.28,0.42,0.003,-0.001,0.001,0.013,0.006,0.002,0.152,0.007,0.013,0.001,-0.001,0.007,0.002,4.38,41.1,29.4,1.9,0.2,42.9,13.5,2.5,,8.5,0,1.1
NSD0037-18,186.15,40.2,22.91,24.23,3.58,2.94,0.06,2.08,0.02,0.01,0.06,0.32,0,0.09,0,0.1,0.03,3.36,21.71,13.82,41.28,0.41,11.50,5.84,0.03,0.12,0.01,0.11,1.20,0.00,0.34,0.15,0.11,0.00,0.02,0.00,3.36,0.00,100.00,19.38,51.23,7.17,0.29,0.26,0.07,0.01,0.16,4.72,2.7,0.01,0.002,0.004,0.049,0.021,0.004,0.827,0.037,0.013,0.001,0.004,0.013,0.007,4.52,47.7,23.9,17.4,0,10.1,8.7,15.8,,14.4,0,6.7
NSD0037-19,186.43,41.8,16.15,26.25,3.95,3.65,0.16,2.19,0.09,0.04,0.08,0.27,0.01,0.12,0.01,0.04,0.04,5.16,27.41,9.65,25.75,0.96,19.91,9.05,0.34,0.23,0.03,0.14,0.53,0.02,0.46,0.19,0.13,0.00,0.03,0.00,5.16,0.00,100.00,17.41,50.77,9.56,0.43,0.18,0.22,0.03,0.13,4.26,5,0.011,0.003,0.005,0.074,0.028,0.005,0.327,0.056,0.018,0.001,0.003,0.009,0.008,3.66,10.3,20.8,9.9,0,11,4.5,30.5,,19,0.8,0.4
NSD0037-20,188.135,40.24,18.17,25.81,2.61,2.03,0.35,1.59,0.2,0.08,0.04,0.22,0.06,0.05,0.02,0.15,0.02,8.37,33.97,12.19,25.93,2.68,8.44,4.91,0.01,0.53,0.31,0.08,1.87,0.20,0.35,0.08,0.07,0.00,0.01,0.00,8.37,0.00,100.00,20.16,50.91,7.14,0.32,0.24,0.15,0.04,0.16,3.88,3.18,0.008,0.002,0.005,0.055,0.02,0.003,0.526,0.05,0.013,0.001,0.004,0.012,0.01,3.99,13.1,26.4,11.4,0,13.9,8.1,19.5,,14.2,0,4.4
NSD0037-21,188.285,43.01,16.23,27.95,3.35,3.33,0.16,1.57,0.07,0.04,0.07,0.19,0,0.12,0,0.05,0.03,3.82,35.65,13.25,18.58,0.98,19.39,6.41,0.31,0.24,0.01,0.12,0.59,0.02,0.29,0.19,0.13,0.00,0.03,0.00,3.82,0.00,100.00,17.88,54.11,7.81,0.35,0.18,0.1,0.01,0.11,3.75,3.68,0.008,0.004,0.002,0.06,0.022,0.003,0.472,0.055,0.013,0.001,0.004,0.012,0.007,3.33,11.4,28.7,10,0,12.6,5.1,21.5,,17.1,0.1,2.9
NSD0037-22,189.77,35.83,38.35,14.11,0.56,0.35,1.44,0.77,0.29,0.41,0.02,0.05,0.13,0.01,0.03,0.06,0,7.6,24.01,44.14,6.78,13.63,0.92,1.09,0.01,0.28,0.69,0.03,0.67,0.04,0.09,0.01,0.01,0.00,0.00,0.00,7.60,0.00,100.00,36.18,31.57,2.59,0.13,0.67,0.84,0.23,0.05,3.07,1.15,0.003,-0.001,0.002,0.02,0.008,0.002,0.382,0.018,0.004,0.001,-0.001,0.009,0.003,6.45,27.8,21.5,6.1,6.7,28.2,23.4,6.3,,3.3,0.1,3.4
NSD0037-23,189.86,45.44,18.55,26.99,0.09,0.06,2.04,0.66,3.43,0.45,0,0.01,0.02,0,0,0,0,2.25,56.59,21.74,1.17,0.67,0.17,0.25,16.25,0.02,0.08,0.00,0.01,0.80,0.00,0.00,0.00,0.00,0.00,0.00,2.25,0.00,100.00,23.16,48.99,0.43,0.04,0.58,5.01,0.02,0.01,2.52,0.15,0.002,0.003,0.002,0.004,0.003,0.004,0.072,0.004,0.002,0.001,-0.001,0.02,0.004,9.28,20.8,47.5,1.9,1.6,18.2,8.4,0.4,,0.5,21.4,0.2
NSD0038-24,68.335,38.04,36.74,17.92,0.58,0.45,0.5,0.4,0.29,0.13,0.01,0.03,0.06,0,0.01,0.09,0,4.77,34.12,49.13,1.68,3.76,2.73,1.32,0.66,0.25,0.34,0.01,1.03,0.08,0.12,0.00,0.01,0.00,0.00,0.00,4.77,0.00,100.00,35.93,38.09,1.27,0.05,0.63,0.53,0.06,0.01,1.88,0.49,0.002,-0.001,0.004,0.008,0.004,0.003,0.193,0.01,0.001,0.001,0.001,0.008,0.002,4.79,32.6,38.5,0.2,5.5,34.1,13.9,1.8,,2.9,1.7,1.2
NSD0038-25,68.705,47.25,9.49,33.43,0.07,0.05,1.69,0.5,2.62,0.36,0,0.01,0.01,0,0,0,0,4.51,69.84,8.91,1.51,2.67,0.03,0.05,10.58,0.00,0.05,0.00,0.00,1.83,0.00,0.00,0.00,0.01,0.00,0.00,4.51,0.00,100.00,21.12,52.72,0.26,0.01,0.88,2.53,0.02,0,2.39,0.07,0.001,0.002,0.002,0.001,0.002,0.004,0.031,0.002,-0.001,0.001,-0.001,0.016,0.004,10.64,11.9,51,0.8,3,10.9,20.4,0,,0.7,13.1,0
NSD0038-26,68.735,39.55,32.8,19.29,0.17,0.09,1.25,0.51,1.21,0.31,0,0.02,0.07,0,0.01,0.01,0,4.7,39.19,41.49,1.51,6.27,0.29,0.75,4.76,0.10,0.38,0.00,0.11,0.45,0.01,0.00,0.00,0.00,0.00,0.00,4.70,0.00,100.00,21.95,53.37,0.29,0.02,0.6,3.35,0.05,0,2.01,0.07,0.002,0.001,0.001,0.002,0.003,0.004,0.014,-0.001,-0.001,-0.001,-0.001,0.018,0.003,8.21,17.3,53.4,0.6,3.3,16.3,9.8,0,,0.9,15.7,0
NSD0038-27,69.575,39.78,26.8,17.05,0.13,0.09,4.01,1.23,1.65,1.09,0,0.01,0.03,0,0.01,0.01,0,8.11,31.77,19.25,2.50,30.03,0.06,0.03,7.42,0.05,0.16,0.00,0.11,0.50,0.00,0.00,0.00,0.00,0.00,0.00,8.11,0.00,100.00,28.49,35.13,0.46,0.06,1.28,3.23,0.06,0.01,3.73,0.14,0.002,-0.001,0.002,0.003,0.004,0.003,0.063,0.003,-0.001,0.001,-0.001,0.016,0.001,14.78,14.3,33.4,3.1,5.6,13.2,29.9,0,,0.8,13.9,0.1
NSD0038-28,70.58,38.52,31.58,10.81,0.21,0.14,4.39,1.37,5.28,1.04,0,0.03,0.02,0,0,0,0,6.6,18.75,30.20,4.59,13.86,0.01,0.03,23.51,0.04,0.10,0.00,0.04,2.28,0.00,0.00,0.00,0.00,0.00,0.00,6.60,0.00,100.00,31.33,30.89,1.36,0.12,1.08,3.71,0.08,0.05,3.98,0.52,0.003,0.001,0.004,0.013,0.007,0.002,0.212,0.011,0.003,0.001,-0.001,0.019,0.003,13.15,17.6,25.4,3.7,7.2,17.8,24.3,1.6,,2.4,16,1.7
NSD0038-29,70.92,42.66,19.43,25.61,3.73,4.07,0.2,1.01,0.26,0.04,0.04,0.11,0,0.02,0.01,0.27,0.02,2.51,29.56,22.71,8.38,0.45,26.80,4.26,1.19,0.11,0.00,0.08,3.30,0.02,0.51,0.03,0.09,0.00,0.00,0.00,2.51,0.00,100.00,31.82,32.18,0.63,0.06,0.9,4.44,0.06,0.01,3.21,0.07,0.003,-0.001,0.001,0.003,0.004,0.002,0.059,0.002,0.003,0.001,-0.001,0.018,0.001,12.54,18.7,31.3,1.4,9.6,18.5,18.1,0,,1.1,20,0
NSD0038-30,70.845,38.03,34.51,17.18,0.38,0.11,1.39,0.81,0.5,0.38,0,0.04,0.04,0,0.01,0.04,0,6.58,33.30,41.51,1.93,10.92,0.37,2.38,1.88,0.29,0.21,0.01,0.44,0.16,0.02,0.00,0.00,0.00,0.00,0.00,6.58,0.00,100.00,18.47,53.41,8.62,0.24,0.09,0.6,0,0.14,2.16,5.72,0.006,0.004,0.003,0.061,0.021,0.004,0.305,0.109,0.005,0.001,0.008,0.012,0.006,1.6,19.4,27.5,2.1,0,22.2,1.2,33.3,,7.8,3.2,1.8
NSD0038-31,71.94,41.04,27.76,22.96,1.87,2.18,0.28,0.52,0.42,0.07,0.17,0.05,0.02,0,0.01,0.08,0.05,2.51,36.14,36.19,4.69,0.62,14.24,1.72,1.75,0.07,0.13,0.31,1.01,0.06,0.36,0.01,0.19,0.00,0.00,0.00,2.51,0.01,100.00,30.23,41.13,2.31,0.12,0.51,2.41,0.02,0.05,2.49,1.27,0.003,-0.001,0.002,0.027,0.01,0.003,0.174,0.026,0.004,0.001,0.003,0.014,0.004,6.28,24.5,32.7,4.4,6,24.8,12.8,6.8,,2.4,8.5,1.5
NSD0038-32,72.08,41.34,20.15,22.87,5.17,7.3,0.15,0.34,0.25,0.03,0.08,0.02,0,0.07,0.01,0.04,0.04,2.12,13.92,26.95,2.68,0.02,50.56,0.34,1.24,0.02,0.00,0.16,0.49,0.02,1.21,0.11,0.15,0.00,0.00,0.00,2.12,0.00,100.00,18.79,59.35,3.09,0.06,0.25,1.96,0.01,0.08,1.72,2.13,0.004,0.002,0.002,0.038,0.009,0.005,0.157,0.041,0.003,0.003,0.004,0.014,0.005,3.63,18.7,45.6,5.1,1,19.4,2.4,13.4,,1.6,8.9,2.6
NSD0038-33,73.67,38.38,34.83,17.45,0.56,0.3,0.98,0.75,0.96,0.26,0.01,0.05,0.31,0,0.06,0.04,0.01,5.04,33.06,43.52,2.52,7.56,1.55,2.65,1.25,0.42,1.67,0.02,0.48,0.17,0.07,0.00,0.03,0.00,0.00,0.00,5.04,0.00,100.00,33.91,37.27,1.28,0.07,0.62,2.11,0.33,0.01,2.44,0.23,0.003,-0.001,0.002,0.009,0.006,0.003,0.122,0.004,0.005,-0.001,-0.001,0.014,0.001,6.09,32.5,35.4,1.1,2.4,32.5,17.6,0.6,,6.7,2.8,1
NSD0038-34,74.11,38.17,38.19,16.81,0.5,0.45,0.82,0.41,0.65,0.22,0.05,0.02,0.23,0,0.05,0.07,0.01,3.34,31.68,49.40,1.95,6.94,2.68,0.76,0.66,0.25,1.25,0.09,0.78,0.07,0.09,0.01,0.05,0.00,0.00,0.00,3.34,0.00,100.00,38.76,32.46,1.36,0.11,0.69,0.37,0.04,0.01,2.57,0.24,0.003,0.001,0.002,0.008,0.007,0.003,0.14,0.003,0.007,0.002,0.002,0.008,0.003,6.08,36.5,29.5,0.8,2.7,36,22,1.3,,6.6,0.3,0.8
NSD0038-35,74.07,38.29,36.19,17.71,0.68,0.44,0.67,0.71,0.33,0.17,0.02,0.05,0.12,0,0.03,0.04,0.01,4.54,33.13,46.63,2.44,5.62,2.55,3.00,0.27,0.51,0.65,0.03,0.46,0.04,0.09,0.00,0.03,0.00,0.00,0.00,4.54,0.00,100.00,38.94,33.06,1.61,0.09,0.6,0.4,0.09,0.02,2.1,0.53,0.003,-0.001,0.001,0.019,0.008,0.002,0.29,0.012,0.007,0.001,-0.001,0.008,0.002,4.82,39,28.9,1.4,2.6,38.1,18.7,3.3,,4,0.1,0.8
NSD0038-36,74.5,38.72,25.64,12.64,0.92,0.73,4.83,1.8,4.05,1.34,0.03,0.07,1.54,0.02,0.32,0.08,0.01,7.26,14.39,7.71,11.10,42.38,2.65,0.76,3.00,0.72,8.36,0.05,0.98,0.46,0.07,0.04,0.04,0.00,0.00,0.00,7.26,0.00,100.00,23.38,38.9,6.21,0.2,0.71,1.47,0.33,0.5,3.76,3.56,0.008,0.002,0.004,0.047,0.016,0.004,0.853,0.059,0.007,0.002,0.004,0.016,0.005,9.67,14.3,14.1,5.2,0.6,13,31.5,17.2,4.9,2.4,1,10.1
NSD0038-37,74.553,40.92,19.89,24.29,4.53,4.93,0.07,0.92,0.09,0.01,0.18,0.14,0,0.2,0.01,0.43,0.04,3.35,18.63,19.25,19.37,0.26,30.23,1.68,0.23,0.12,0.01,0.34,5.19,0.01,0.84,0.34,0.16,0.00,0.00,0.00,3.35,0.00,100.00,20.53,45.42,8.28,0.36,0.39,0.43,0.04,0.4,3.58,5.03,0.011,0.002,0.003,0.075,0.026,0.004,0.552,0.09,0.008,0.002,0.004,0.009,0.007,5.71,15.3,16.8,5.4,0.1,14.7,17,25.3,7.6,6.7,1.1,5.3
NSD0038-38,74.865,37.54,40.54,15.49,0.29,0.18,0.51,0.39,1.62,0.11,0.03,0.04,0.4,0,0.08,0,0,2.78,30.28,54.51,4.64,0.75,0.23,0.77,3.42,0.05,2.17,0.05,0.01,0.32,0.02,0.00,0.01,0.00,0.00,0.00,2.78,0.00,100.00,28.26,41.54,5.47,0.21,0.22,0.76,0.06,0.76,3.32,2.17,0.008,0.001,0.004,0.048,0.022,0.003,0.64,0.041,0.01,0.002,0.003,0.01,0.005,3.81,21.8,22.9,6.1,5.3,22.4,8.6,8.3,6.4,10.2,2.7,5.1
NSD0038-39,76.23,38.91,36.04,18.94,0.87,0.88,0.49,0.36,0.05,0.13,0,0.03,0.01,0,0,0.1,0,3.18,34.04,47.69,2.42,4.42,5.56,0.84,0.09,0.23,0.05,0.01,1.25,0.01,0.21,0.00,0.01,0.00,0.00,0.00,3.18,0.00,100.00,36.96,39.25,1.75,0.08,0.38,0.2,0.02,0.02,1.53,1.01,0.003,0.002,0.002,0.014,0.009,0.003,0.122,0.018,0.003,0.002,0.001,0.008,0.003,2.41,40,34,0.6,2.3,42,9.6,6,,3.3,0.2,0.8
NSRD0797-1,,39.71,35.25,14.58,0.33,0.2,4.15,1.45,0.21,1.19,0,0.04,0.08,0.01,0.02,0,0,2.78,23.67,25.81,6.32,39.83,0.00,0.59,0.04,0.40,0.46,0.01,0.00,0.07,0.00,0.02,0.01,0.00,0.00,0.00,2.78,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
