Label,O,F,Na,Mg,Al,Si,P,S,K,Ca,Ti,Cr,Mn,Fe,Cu,Zn,Ba,Pb,Total,Project Path (1),BHID_slide,slide,BHID,Project Path (3),Mineral,NumericMineral
Spectrum 42,27.82,,,8.69,,,,,,34.49,,,5.95,23.05,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 5,unidentified - carbonate and magnetite,8
Spectrum 137,35.13,,,,,1.99,,,,,38.93,,,23.96,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 5,unidentified - carbonate and magnetite,8
Spectrum 211,27.99,,,9.21,,,,,,34.87,,,1.87,26.06,,,,,100,23_1878,NSRD0798-10,10,NSRD0798,NSRD0798-11,unidentified - carbonate and magnetite,8
Spectrum 166,34.25,,,,0.37,2.09,,0.81,1.07,,32.8,,0.32,28.27,,,,,100,23_1878,NSRD0800-10,10,NSRD0800,Site 1,unidentified - carbonate and magnetite,8
Spectrum 169,32.4,,,,0.46,1.63,,0.64,1.27,,28.03,,0.63,34.94,,,,,100,23_1878,NSRD0800-10,10,NSRD0800,Site 2,unidentified - carbonate and magnetite,8
Spectrum 156,31.68,,,,,0.57,,,0.2,,30.48,,0.81,36.26,,,,,100,23_1878,NSRD0800-11,11,NSRD0800,Site 2,unidentified - carbonate and magnetite,8
Spectrum 80,31.45,,,,,0.2,,,,,30.5,,0.59,37.26,,,,,100,23_1878,NSRD0798-8,8,NSRD0798,Site 2,unidentified - carbonate and magnetite,8
Spectrum 111,31.42,,,,,0.26,,,,,30.25,,0.68,37.39,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 3,unidentified - carbonate and magnetite,8
Spectrum 18,39.44,,,7.56,0.84,5.93,,,0.6,,,,6.85,38.78,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 12,38.89,,,9.47,,,,,,0.31,,,8.85,42.47,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 75,27.56,,,,4.61,0.22,,,,,1.16,19.98,,43.95,,2.53,,,100,23_1878,NSRD0798-8,8,NSRD0798,Site 2,unidentified - carbonate and magnetite,8
Spectrum 6,37.67,,,7.93,,,,,,0.48,,,8.91,45.01,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 9,36.9,,,4.11,,,,,,1.46,,,8.31,49.22,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 13,37.24,,,4.07,,0.38,,,,1.71,,,7.36,49.24,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 2,37.23,,,3.93,,,,,,1.48,,,7.99,49.37,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 1,37.6,,,3.78,,,,,,1.58,,,7.48,49.57,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 20,25.75,,,11.8,,,,,,0.43,,,10.87,51.14,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 34,25.58,,,11.3,,,,,,,,,11.59,51.54,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 4,unidentified - carbonate and magnetite,8
Spectrum 229,25.82,,,12.06,,,,,,0.43,,,9.96,51.73,,,,,100,23_1878,NSRD0798-5,5,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 53,25.67,,,11.63,,,,,,,,,10.45,52.25,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 6,unidentified - carbonate and magnetite,8
Spectrum 52,25.34,,,10.28,,,,,,0.77,,,10.07,53.54,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 5,unidentified - carbonate and magnetite,8
Spectrum 237,25.18,,,9.71,,,,,,0.74,,,10.49,53.88,,,,,100,23_1878,NSRD0798-5,5,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 50,25.36,,,10.38,,,,,,0.68,,,9.69,53.89,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 5,unidentified - carbonate and magnetite,8
Spectrum 180,28.39,,,8.01,2.86,3.66,,,,0.35,,,2.29,54.44,,,,,100,23_1878,NSRD0798-10,10,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 199,27.77,,,8.49,,4.55,,,,0.33,,,2.18,56.68,,,,,100,23_1878,NSRD0798-10,10,NSRD0798,Site 2,unidentified - carbonate and magnetite,8
Spectrum 54,25.36,,,6.94,,1.54,,,,0.44,,,8.04,57.69,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 6,unidentified - carbonate and magnetite,8
Spectrum 30,24.48,,,7.41,,,,,,0.48,,,7.85,59.77,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 2,unidentified - carbonate and magnetite,8
Spectrum 35,24.47,,,7.33,,,,,,0.66,,,7.68,59.86,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 4,unidentified - carbonate and magnetite,8
Spectrum 104,26.13,,,5.85,,3.23,,,0.5,0.53,,,3.56,60.2,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 3,unidentified - carbonate and magnetite,8
Spectrum 29,23.62,,,4.2,,,,,,1.16,,,10.01,61.02,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 2,unidentified - carbonate and magnetite,8
Spectrum 93,25.05,,,9,,,,,,2.02,,,1.49,62.43,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 2,unidentified - carbonate and magnetite,8
Spectrum 89,24.82,,,8.69,,,,,,0.31,,,3.58,62.61,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 1,unidentified - carbonate and magnetite,8
Spectrum 36,23.33,,,3.55,,,,,,,,,10.49,62.63,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 4,unidentified - carbonate and magnetite,8
Spectrum 146,24.97,,,9.23,,,,,,0.3,,,2.8,62.7,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 5,unidentified - carbonate and magnetite,8
Spectrum 201,24.92,,,9.17,,,,,,,,,2.34,63.57,,,,,100,23_1878,NSRD0798-10,10,NSRD0798,Site 3,unidentified - carbonate and magnetite,8
Spectrum 57,25.17,,,5.1,0.6,1.62,,,,0.77,,,2.76,63.98,,,,,100,23_1878,NSRD0798-8,8,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 77,24.42,,,5.69,,0.57,,,,1.42,,,3,64.92,,,,,100,23_1878,NSRD0798-8,8,NSRD0798,Site 2,unidentified - carbonate and magnetite,8
Spectrum 204,24.17,,,4.88,,0.59,,,,1.01,,,2.97,66.39,,,,,100,23_1878,NSRD0798-10,10,NSRD0798,Site 3,unidentified - carbonate and magnetite,8
Spectrum 76,23.89,,,4.77,,,,,,2.73,,,1.11,67.5,,,,,100,23_1878,NSRD0798-8,8,NSRD0798,Site 2,unidentified - carbonate and magnetite,8
Spectrum 61,23.77,,,4.47,,,,,,2.35,,,1.52,67.89,,,,,100,23_1878,NSRD0798-8,8,NSRD0798,Site 2,unidentified - carbonate and magnetite,8
Spectrum 232,23.8,,,1.2,0.99,1,,,,0.61,,,1.79,70.62,,,,,100,23_1878,NSRD0798-5,5,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 94,23.37,,,3.69,,,,,,0.35,,,1.74,70.84,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 2,unidentified - carbonate and magnetite,8
Spectrum 230,22.28,,,,,,,,,,,,3.86,73.86,,,,,100,23_1878,NSRD0798-5,5,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 136,22.57,,,1.01,,,,,,,,,1.89,74.53,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 5,unidentified - carbonate and magnetite,8
Spectrum 233,22.62,,,1.22,,,,,,,,,1.19,74.97,,,,,100,23_1878,NSRD0798-5,5,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 121,22.31,,,,,,,,,0.4,,,2.25,75.03,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 4,unidentified - carbonate and magnetite,8
Spectrum 122,22.31,,,,,,,,,0.37,,,2.27,75.05,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 4,unidentified - carbonate and magnetite,8
Spectrum 90,22.28,,,,,,,,,,,,2.59,75.13,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 1,unidentified - carbonate and magnetite,8
Spectrum 200,23.06,,,,,1.14,,,,,,0.28,,75.52,,,,,100,23_1878,NSRD0798-10,10,NSRD0798,Site 2,unidentified - carbonate and magnetite,8
Spectrum 109,22.83,,,,,0.7,,,,,,0.71,,75.76,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 3,unidentified - carbonate and magnetite,8
Spectrum 124,22.64,,,,,0.3,,,,,,1.24,,75.82,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 4,unidentified - carbonate and magnetite,8
Spectrum 71,22.28,,,,,,,,,,,,1.79,75.94,,,,,100,23_1878,NSRD0798-8,8,NSRD0798,Site 2,unidentified - carbonate and magnetite,8
Spectrum 228,22.27,,,,,,,,,,,,1.62,76.11,,,,,100,23_1878,NSRD0798-5,5,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 130,22.27,,,,,,,,,,,,1.24,76.48,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 4,unidentified - carbonate and magnetite,8
Spectrum 187,22.76,,,,,0.74,,,,,,,,76.49,,,,,100,23_1878,NSRD0798-10,10,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 219,22.72,,,,,0.68,,,,,,,,76.59,,,,,100,23_1878,NSRD0798-9,9,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 99,22.4,,,,,,,,,,,0.95,,76.65,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 2,unidentified - carbonate and magnetite,8
Spectrum 205,22.59,,,,,0.42,,,,,,0.28,,76.7,,,,,100,23_1878,NSRD0798-10,10,NSRD0798,Site 3,unidentified - carbonate and magnetite,8
Spectrum 126,22.37,,,,,,,,,,,0.75,,76.88,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 4,unidentified - carbonate and magnetite,8
Spectrum 102,22.37,,,,,,,,,,,0.73,,76.9,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 2,unidentified - carbonate and magnetite,8
Spectrum 227,22.51,,,,,0.3,,,,,,0.28,,76.91,,,,,100,23_1878,NSRD0798-5,5,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 108,22.36,,,,,,,,,,,0.65,,76.99,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 3,unidentified - carbonate and magnetite,8
Spectrum 66,22.55,,,,,0.43,,,,,,,,77.01,,,,,100,23_1878,NSRD0798-8,8,NSRD0798,Site 2,unidentified - carbonate and magnetite,8
Spectrum 32,22.54,,,,,0.41,,,,,,,,77.05,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 2,unidentified - carbonate and magnetite,8
Spectrum 147,22.27,,,,,,,,,,,,0.64,77.09,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 5,unidentified - carbonate and magnetite,8
Spectrum 225,22.44,,,,,0.26,,,,,,,,77.3,,,,,100,23_1878,NSRD0798-5,5,NSRD0798,Site 1,unidentified - carbonate and magnetite,8
Spectrum 91,22.32,,,,,,,,,,,0.35,,77.34,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 1,unidentified - carbonate and magnetite,8
Spectrum 74,22.27,,,,,,,,,,,,,77.73,,,,,100,23_1878,NSRD0798-8,8,NSRD0798,Site 2,unidentified - carbonate and magnetite,8
