Sample,BHID,Composite,Size,Type,Fe3O4,Fe,SiO2,Al2O3,TiO2,Mn,CaO,P,S,MgO,K2O,Na2O,Zn,As,Cl,Cu,Pb,Ba,V,Cr,Ni,Co,Sn,Zr,Sr,LOI371,LOI650,LOI1000,LOI
44712670021,GVRD0267,Comp 6,-53um,CONS,88.29,66.85,5.974,0.122,0.019,0.062,0.071,0.014,0.006,0.204,0.014,0.016,0.004,-0.001,0.007,0.001,0.001,0.004,0.002,0.022,0.006,0.001,-0.001,0.001,0.004,-0.37,-0.72,-1.2,-2.29
44712670022,GVRD0267,Comp 7,-53um,CONS,89.61,68.06,4.643,0.083,0.011,0.053,0.068,0.014,0.006,0.167,0.012,0.009,0.003,-0.001,0.006,0.003,-0.001,0.003,0.002,0.026,0.006,0.002,-0.001,0.001,0.003,-0.44,-0.89,-1.19,-2.52
44712670023,GVRD0267,Comp 8,-53um,CONS,88.47,67.23,5.707,0.1,0.019,0.062,0.078,0.015,0.006,0.182,0.016,0.012,0.003,-0.001,0.007,0.001,0.002,0.006,0.002,0.026,0.011,0.002,-0.001,0.001,0.005,-0.42,-0.73,-1.23,-2.38
44712670024,GVRD0267,Comp 9,-53um,CONS,89.23,66.38,6.137,0.173,0.019,0.077,0.083,0.016,0.01,0.252,0.022,0.007,0.004,-0.001,0.005,0.003,-0.001,0.002,0.003,0.034,0.003,0.001,-0.001,0.001,0.004,-0.34,-0.56,-1.22,-2.12
44712670025,GVRD0267,Comp 4,-45um,CONS,92.45,67.8,4.842,0.092,0.017,0.049,0.057,0.011,0.005,0.146,0.011,0.007,0.004,0.002,0.006,-0.001,0.001,0.002,0.002,0.022,0.001,0.002,-0.001,0.001,0.004,-0.42,-0.96,-1.17,-2.55
44712670026,GVRD0267,Comp 5,-45um,CONS,90.18,67.77,5.246,0.128,0.014,0.046,0.069,0.013,0.006,0.168,0.008,0.002,0.003,0.001,0.007,0.002,-0.001,-0.001,0.003,0.027,0.002,0.001,-0.001,-0.001,-0.001,-0.41,-0.97,-1.18,-2.56
44712670027,GVRD0267,Comp 6,-45um,CONS,91.51,68.25,4.679,0.093,0.017,0.049,0.057,0.011,0.006,0.155,0.009,0.01,0.003,0.001,0.006,0.001,0.002,0.004,0.002,0.02,0.001,0.002,0.001,0.001,0.004,-0.43,-1.0,-1.16,-2.59
44712670028,GVRD0267,Comp 7,-45um,CONS,92.64,69.02,3.583,0.06,0.01,0.042,0.054,0.011,0.006,0.121,0.008,0.008,0.003,-0.001,0.01,0.001,0.001,0.004,0.002,0.021,0.005,0.002,-0.001,0.002,0.005,-0.49,-1.15,-1.1,-2.74
44712670029,GVRD0267,Comp 8,-45um,CONS,90.37,68.35,4.205,0.075,0.018,0.044,0.06,0.012,0.005,0.13,0.011,0.009,0.003,-0.001,0.005,-0.001,-0.001,0.004,0.002,0.03,0.014,0.001,-0.001,0.001,0.001,-0.47,-1.04,-1.16,-2.67
44712670030,GVRD0267,Comp 9,-45um,CONS,91.13,67.83,4.678,0.134,0.018,0.06,0.065,0.013,0.009,0.188,0.015,0.003,0.003,0.001,0.006,0.003,-0.001,0.004,0.003,0.035,0.002,0.002,-0.001,0.001,0.003,-0.4,-0.89,-1.18,-2.47
44712670031,GVRD0267,Comp 4,-38um,CONS,89.61,68.22,4.443,0.095,0.012,0.046,0.054,0.01,0.005,0.142,0.008,0.003,0.003,0.001,0.005,0.002,-0.001,0.002,0.002,0.028,0.011,0.001,-0.001,-0.001,0.001,-0.44,-1.05,-1.08,-2.57
44712670032,GVRD0267,Comp 5,-38um,CONS,90.75,67.89,4.768,0.138,0.02,0.044,0.065,0.012,0.006,0.161,0.007,0.008,0.004,-0.001,0.007,0.001,0.001,0.005,0.003,0.032,0.015,0.001,-0.001,0.001,0.003,-0.45,-1.05,-1.06,-2.56
44712670033,GVRD0267,Comp 6,-38um,CONS,89.23,68.32,4.2,0.098,0.011,0.046,0.055,0.011,0.006,0.152,0.008,0.007,0.003,0.001,0.007,0.002,-0.001,0.004,0.002,0.023,0.007,0.001,-0.001,0.001,0.003,-0.49,-1.08,-1.01,-2.58
44712670034,GVRD0267,Comp 7,-38um,CONS,92.08,69.17,3.346,0.065,0.016,0.04,0.051,0.01,0.003,0.117,0.007,0.007,0.004,-0.001,0.006,-0.001,0.002,0.004,0.002,0.026,0.006,0.001,-0.001,0.001,0.004,-0.55,-1.24,-0.97,-2.76
44712670035,GVRD0267,Comp 8,-38um,CONS,93.21,68.55,3.9,0.076,0.011,0.045,0.058,0.011,0.004,0.127,0.01,0.007,0.002,-0.001,0.006,0.001,-0.001,0.004,0.002,0.027,0.011,0.001,-0.001,0.001,0.003,-0.53,-1.13,-1.01,-2.67
44712670036,GVRD0267,Comp 9,-38um,CONS,89.42,68.43,4.211,0.125,0.022,0.054,0.062,0.012,0.007,0.182,0.012,0.005,0.004,-0.001,0.006,0.001,0.002,0.004,0.004,0.031,0.003,0.002,0.001,0.001,0.004,-0.45,-1.02,-1.03,-2.5
44712670037,GVRD0267,Comp 4,-53um,TAILS,0.86,20.18,51.59,1.75,0.071,0.612,1.084,0.151,0.147,2.51,0.198,0.053,0.004,0.001,0.001,0.008,-0.001,-0.001,-0.001,0.004,-0.001,-0.001,-0.001,0.003,0.005,1.9,9.68,0.54,12.12
44712670038,GVRD0267,Comp 5,-53um,TAILS,0.98,18.39,54.99,2.082,0.089,0.543,1.185,0.16,0.177,2.55,0.149,0.024,0.006,0.002,0.001,0.008,0.001,-0.001,-0.001,0.005,0.001,0.001,-0.001,0.004,0.009,0.26,9.97,0.79,11.02
44712670039,GVRD0267,Comp 6,-53um,TAILS,0.86,18.09,55.52,2.142,0.087,0.619,1.037,0.137,0.154,2.73,0.203,0.034,0.007,0.001,-0.001,0.008,0.001,0.004,0.002,0.011,0.003,0.001,-0.001,0.005,0.01,0.28,9.96,0.78,11.02
44712670040,GVRD0267,Comp 7,-53um,TAILS,1.11,19.48,54.83,1.39,0.065,0.599,1.199,0.153,0.123,2.39,0.195,0.022,0.004,0.001,0.004,0.007,-0.001,-0.001,-0.001,0.006,0.001,-0.001,-0.001,0.003,0.008,0.34,9.45,0.82,10.61
44712670041,GVRD0267,Comp 8,-53um,TAILS,0.98,17.02,57.99,1.476,0.061,0.62,1.302,0.173,0.094,2.29,0.25,0.018,0.004,0.001,0.001,0.008,-0.001,0.003,-0.001,0.004,-0.001,-0.001,-0.001,0.004,0.011,0.21,9.83,0.88,10.92
44712670042,GVRD0267,Comp 9,-53um,TAILS,0.98,17.8,53.24,2.084,0.082,0.679,0.946,0.119,0.463,2.98,0.173,0.015,0.005,0.001,0.003,0.008,-0.001,0.002,-0.001,0.012,0.007,-0.001,-0.001,0.004,0.009,0.24,11.49,1.12,12.85
44712670043,GVRD0267,Comp 4,-45um,TAILS,0.86,19.99,52.31,1.789,0.082,0.602,1.048,0.142,0.145,2.47,0.195,0.047,0.005,0.007,0.003,0.007,-0.001,-0.001,-0.001,0.005,-0.001,-0.001,-0.001,0.003,0.008,0.33,10.77,0.74,11.84
44712670044,GVRD0267,Comp 5,-45um,TAILS,0.74,18.19,55.22,2.062,0.089,0.536,1.139,0.147,0.157,2.52,0.139,0.025,0.005,0.002,0.003,0.006,-0.001,-0.001,-0.001,0.004,0.002,-0.001,-0.001,0.003,0.005,0.33,9.92,0.79,11.04
44712670045,GVRD0267,Comp 6,-45um,TAILS,0.86,17.71,55.87,2.115,0.089,0.622,0.999,0.128,0.164,2.71,0.205,0.034,0.004,0.001,0.003,0.007,0.001,0.002,-0.001,0.008,-0.001,0.001,-0.001,0.004,0.011,0.29,10.02,0.8,11.11
44712670046,GVRD0267,Comp 7,-45um,TAILS,0.74,19.64,54.5,1.334,0.058,0.613,1.177,0.156,0.122,2.37,0.186,0.025,0.003,0.002,0.005,0.005,-0.001,-0.001,-0.001,0.007,0.003,-0.001,-0.001,0.004,0.01,0.32,9.55,0.85,10.72
44712670047,GVRD0267,Comp 8,-45um,TAILS,0.98,17.16,57.04,1.526,0.058,0.624,1.272,0.165,0.1,2.32,0.251,0.011,0.003,0.001,0.002,0.007,-0.001,-0.001,-0.001,0.012,0.005,-0.001,-0.001,0.003,0.006,0.3,9.95,0.9,11.15
44712670048,GVRD0267,Comp 9,-45um,TAILS,0.98,17.64,53.58,2.11,0.09,0.679,0.922,0.114,0.429,2.94,0.175,0.007,0.004,0.001,0.005,0.007,-0.001,-0.001,-0.001,0.006,-0.001,-0.001,-0.001,0.004,0.007,0.31,11.1,1.16,12.57
44712670049,GVRD0267,Comp 4,-38um,TAILS,0.98,20.01,51.88,1.718,0.073,0.615,1.11,0.135,0.135,2.48,0.186,0.054,0.003,0.002,0.005,0.007,-0.001,-0.001,0.002,0.009,-0.001,-0.001,-0.001,0.003,0.009,0.42,10.88,0.76,12.06
44712670050,GVRD0267,Comp 5,-38um,TAILS,0.98,18.26,55.27,2.083,0.084,0.54,1.133,0.148,0.15,2.51,0.143,0.024,0.003,0.001,-0.001,0.007,-0.001,-0.001,-0.001,0.012,0.005,-0.001,-0.001,0.003,0.008,0.34,9.79,0.81,10.94
44712670051,GVRD0267,Comp 6,-38um,TAILS,0.86,17.68,55.57,2.095,0.094,0.626,1.03,0.136,0.148,2.73,0.21,0.033,0.004,0.001,0.001,0.005,-0.001,0.002,0.001,0.012,0.005,-0.001,-0.001,0.004,0.009,0.3,10.11,0.8,11.21
44712670052,GVRD0267,Comp 7,-38um,TAILS,0.74,19.63,54.52,1.349,0.054,0.606,1.182,0.157,0.111,2.38,0.185,0.026,0.003,0.002,-0.001,0.007,-0.001,-0.001,-0.001,0.007,0.001,-0.001,-0.001,0.003,0.01,0.27,9.56,0.86,10.69
44712670053,GVRD0267,Comp 8,-38um,TAILS,0.98,17.34,57.06,1.503,0.063,0.629,1.265,0.165,0.093,2.32,0.248,0.019,0.003,0.001,-0.001,0.006,-0.001,0.002,-0.001,0.009,0.006,-0.001,-0.001,0.003,0.008,0.34,9.88,0.9,11.12
44712670054,GVRD0267,Comp 9,-38um,TAILS,0.86,17.6,53.79,2.081,0.081,0.684,0.96,0.123,0.347,2.96,0.169,0.015,0.004,0.001,-0.001,0.007,-0.001,0.003,-0.001,0.005,-0.001,-0.001,-0.001,0.004,0.009,0.38,11.31,1.05,12.74
STD 4.1,,,,,,45.61,24.9,2.375,0.247,0.005,0.095,0.104,0.023,0.062,0.011,0.016,0.001,0.001,0.003,0.001,0.001,-0.001,0.004,0.008,0.003,-0.001,-0.001,0.007,0.008,5.9,0.61,0.2,6.710000000000001
STD 5.1,,,,,,1.596,81.88,9.127,0.417,0.08,0.081,0.013,0.003,0.409,3.296,0.337,0.002,-0.001,0.003,0.002,0.003,0.098,0.002,0.004,0.002,0.001,0.005,0.021,0.014,0.91,0.97,0.07,1.95
44712680001,GVRD0268,Comp 2,-53um,FEED,29.03,35.46,38.25,0.965,0.043,0.572,0.473,0.116,0.044,1.49,0.302,0.014,0.003,0.001,0.003,-0.001,-0.001,0.003,0.003,0.009,0.007,-0.001,-0.001,0.002,0.006,1.28,5.5,-0.19,6.59
44712680002,GVRD0268,Comp 3,-53um,FEED,31.4,35.11,38.62,0.958,0.039,0.609,0.416,0.1,0.131,1.55,0.193,0.015,0.002,-0.001,0.004,-0.001,-0.001,0.003,0.002,0.006,0.003,-0.001,-0.001,0.002,0.006,1.4,5.38,-0.01,6.77
44712680003,GVRD0268,Comp 4,-53um,FEED,37.8,36.88,38.15,1.336,0.062,0.617,0.317,0.085,0.083,1.57,0.095,0.019,0.003,0.001,0.003,-0.001,0.001,-0.001,-0.001,0.008,0.004,0.001,-0.001,0.002,0.004,0.5,4.27,-0.21,4.56
