,Mineral,Spinel_group,Hematite_group,Quartz,Chlorite_group,Dolomite_group,Calcite_group-Siderite,Calcite_group-Calcite,Pyrite_group,Rutile_group,K-Feldspar,Stilpnomelane,Mica_group,Plagioclase,Goethite,Smectite_group,Sepiolite,Kaolinite-serpentine_group,Pyroxene,Total,Unassigned_peak,report,Client_sample_ID,BV_sample_ID,Sample_ID,Sample ID,Type,Fe_%,SiO2_%,Al2O3_%,TiO2_%,Mn_%,CaO_%,P XRF_%,S XRF_%,MgO_%,K2O_%,Na2O_%,Zn_%,As_%,Cl_%,Cu_%,Pb_%,Ba_%,V_%,Cr_%,Ni_%,Co_%,Sn XRF_%,Zr_%,Sr_%,Fe3O4_%,LOI_371_%,LOI_650_%,LOI_1000_%,LOI_ Total_%,P80_um_(l),Mass_g,,,,
56,35-44710198,1,2,49,7,6,14,0.5,,,6,8,,4,,,,,,100,Tr,N9774XD21,44710198 NSRD0800 Comp 11 -53um DTR Tails,35-44710198,NSRD0800-F-11,NSRD0800-F-11,Tails,13.55,59.22,4.38,0.19,0.52,1.73,0.09,0.4,3.89,1.49,0.19,0.01,0,0,0.01,0,0.04,0,0.01,0.01,0,0,0.01,0.01,1,1.39,6.46,0.41,8.26,29.83,27.808,,,,
57,36-44710199,1,1,48,8,7,16,0.5,,,7,6,,4,,,,,,100,Tr,N9774XD21,44710199 NSRD0800 Comp 15 -53um DTR Tails,36-44710199,NSRD0800-F-15,NSRD0800-F-15,Tails,13.21,58.68,4.21,0.18,0.55,2,0.13,0.24,3.67,1.75,0.2,0.01,0,0.01,0.01,0,0.04,0,0.01,0.01,0,0,0.01,0.01,0.9,1.48,7.02,0.6,9.1,31.65,26.407,,,,
58,37-44710200,0.5,2,51,7,8,15,0.5,,,7,7,,,,,,,,100,Tr,N9774XD21,44710200 NSRD0801 Comp 3 -53um DTR Tails,37-44710200,NSRD0801-F-3,NSRD0801-F-3,Tails,14.03,59.95,3.21,0.13,0.37,2.51,0.15,0.22,2.79,1.13,0.11,0.01,0,0,0.01,0,0.02,0,0.01,0.01,0,0,0.01,0.01,1,0.42,6.82,1.79,9.03,25.26,27.632,,,,
59,38-44710201,0.5,1,55,6,8,17,1,,,5,7,,,,,,,,100,Tr,N9774XD21,44710201 NSRD0801 Comp 4 -53um DTR Tails,38-44710201,NSRD0801-F-4,NSRD0801-F-4,Tails,13.79,59.91,2.61,0.11,0.5,2.82,0.15,0.23,2.71,0.94,0.09,0.01,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0.01,0.9,0.44,7.19,2.18,9.81,27.14,27.086,,,,
60,39-44710202,0.5,2,48,8,6,19,1,,,4,12,,,,,,,,100,Tr,N9774XD21,44710202 NSRD0801 Comp 5 -53um DTR Tails,39-44710202,NSRD0801-F-5,NSRD0801-F-5,Tails,16.06,57.33,3.26,0.13,0.4,1.93,0.14,0.39,3,1.01,0.1,0.01,0,0,0.01,0,0.01,0,0.01,0.01,0,0,0,0.01,0.9,0.46,7.28,1.34,9.08,26.97,29.955,,,,
61,40-44710203,1,1,37,10,6,20,0.5,,,5,19,,,,,,,,100,Tr,N9774XD21,44710203 NSRD0801 Comp 6 -53um DTR Tails,40-44710203,NSRD0801-F-6,NSRD0801-F-6,Tails,18.94,50.7,4.24,0.17,0.41,1.99,0.14,0.53,3.41,1.19,0.15,0.01,0,0,0.01,0,0.02,0,0.02,0.01,0,0,0.01,0.01,0.7,0.62,7.7,1.47,9.79,30.07,34.506,,,,
62,41-44710204,,0.5,42,9,6,15,1,,,7,18,,,,,,,,100,Tr,N9774XD21,44710204 NSRD0801 Comp 7 -53um DTR Tails,41-44710204,NSRD0801-F-7,NSRD0801-F-7,Tails,17.28,54.44,4.93,0.2,0.32,1.7,0.13,0.77,3.26,1.37,0.14,0.01,0,0,0.01,0,0.01,0,0.03,0.02,0,0,0.01,0.01,0.7,0.6,5.88,1.46,7.94,29.99,35.067,,,,
63,42-44710205,0.5,0.5,46,6,7,18,1,,,3,17,,,,,,,,100,Tr,N9774XD21,44710205 NSRD0801 Comp 8 -53um DTR Tails,42-44710205,NSRD0801-F-8,NSRD0801-F-8,Tails,16.19,55.23,3.15,0.12,0.42,2.44,0.14,0.18,3.49,1.02,0.13,0.01,0,0,0.02,0,0.01,0,0.01,0.01,0,0,0,0.01,0.9,0.66,7.54,1.88,10.08,29.73,28.739,,,,
64,43-44710206,,7,55,1,,33,,,,0.5,,3,,,,,,,100,Tr,N9774XD21,44710206 GVRD0268 Comp 2 -53um DTR Tails,43-44710206,GVRD0268-F-2,GVRD0268-F-2,Tails,18.9,55.55,1.44,0.06,0.81,0.68,0.16,0.07,2.12,0.45,0.03,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,1.02,2.21,8.49,0.31,11.01,28.25,26.581,,,,
65,44-44710207,0.5,2,60,4,,31,,,,1,,1,,,,,,,100,Tr,N9774XD21,44710207 GVRD0268 Comp 3 -53um DTR Tails,44-44710207,GVRD0268-F-3,GVRD0268-F-3,Tails,16.99,57.71,1.44,0.06,0.88,0.6,0.14,0.2,2.22,0.29,0.01,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,1,2.54,8.49,0.57,11.6,27.26,25.736,,,,
66,45-44710208,,3,64,8,,23,,,,0.5,,0.5,,,,,,,100,Tr,N9774XD21,44710208 GVRD0268 Comp 4 -53um DTR Tails,45-44710208,GVRD0268-F-4,GVRD0268-F-4,Tails,15.1,61.63,2.18,0.09,0.99,0.51,0.13,0.14,2.47,0.16,0.02,0.01,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0.01,1,1.31,7.73,0.41,9.45,20.54,23.324,,,,
67,46-44710209,0.5,0.5,54,10,,33,0.5,,,,0.5,,,,,,,,100,Tr,N9774XD21,44710209 GVRD0268 Comp 5 -53um DTR Tails,46-44710209,GVRD0268-F-5,GVRD0268-F-5,Tails,19.36,52.58,2.34,0.1,0.7,0.53,0.12,0.14,3.02,0.02,0.03,0.01,0,0,0.01,0,0.01,0,0.01,0.01,0,0,0,0.01,1,2.48,10.15,0.41,13.04,21.69,28.527,,,,
68,47-44710210,0.5,9,62,3,,23,,,,0.5,,2,,,,,,,100,Tr,N9774XD21,44710210 GVRD0268 Comp 6 -53um DTR Tails,47-44710210,GVRD0268-F-6,GVRD0268-F-6,Tails,17.74,58.98,1.69,0.08,0.98,0.51,0.13,0.1,2.14,0.4,0.03,0,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0.01,1.4,1.28,7.36,0.42,9.06,27.03,23.992,,,,
69,48-44710211,0.5,11,62,2,,21,,,,0.5,,3,,,,,,,100,Tr,N9774XD21,44710211 GVRD0268 Comp 7 -53um DTR Tails,48-44710211,GVRD0268-F-7,GVRD0268-F-7,Tails,17.44,59.56,1.54,0.06,0.94,0.7,0.17,0.07,2.42,0.44,0.03,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,1.2,0.59,7.59,0.37,8.55,27.25,23.159,,,,
70,49-44710212,,10,63,3,7,15,,,,,,2,,,,,,,100,Tr,N9774XD21,44710212 GVRD0268 Comp 8 -53um DTR Tails,49-44710212,GVRD0268-F-8,GVRD0268-F-8,Tails,16.1,60.7,1.22,0.05,0.96,2.35,0.15,0.03,2.8,0.3,0.03,0,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0.01,1.2,0.4,6.62,2.17,9.19,28.68,22.663,,,,
71,50-44710213,,6,60,6,7,20,,,,0.5,,0.5,,,,,,,100,Tr,N9774XD21,44710213 GVRD0268 Comp 9 -53um DTR Tails,50-44710213,GVRD0268-F-9,GVRD0268-F-9,Tails,14.9,58.25,1.45,0.06,0.92,2.45,0.16,0.07,3.48,0.18,0.02,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,0.9,0.41,8.46,2.18,11.05,28.93,24.2,,,,
72,1-44710245,27,13,42,3,,12,,,0.5,,,,,3,,,,,100,Tr,N9821XD21,NSRD0796 Comp 2 -53um DTR Feed,1-44710245,NSRD0796-F-2,NSRD0796-F-2,Feed,35.2,39.7,1.4,0.06,0.56,0.44,0.12,0.06,1.8,0.35,0.03,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,25,0.49,4.33,-0.08,4.74,30.62,40.034,,,,
73,2-44710246,40,2,38,5,0.5,14,,,0.5,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0796 Comp 3 -53um DTR Feed,2-44710246,NSRD0796-F-3,NSRD0796-F-3,Feed,35.61,37.45,1.73,0.08,0.57,0.59,0.09,0.07,2.36,0.52,0.04,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,36.7,0.11,5.28,-0.34,5.05,24.39,40.085,,,,
74,3-44710247,39,1,40,4,2,13,,,0.5,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0796 Comp 4 -53um DTR Feed,3-44710247,NSRD0796-F-4,NSRD0796-F-4,Feed,35.04,39.61,1.14,0.05,0.6,0.79,0.1,0.03,1.98,0.26,0.04,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,37.7,0.08,5.11,-0.45,4.74,30.04,40.009,,,,
75,4-44710248,34,0.5,35,6,2,21,,,0.5,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 5 -53um DTR Feed,4-44710248,NSRD0796-F-5,NSRD0796-F-5,Feed,35.67,35.33,1.45,0.07,0.62,0.71,0.1,0.08,2.41,0.31,0.07,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,33.3,0.33,7.31,-0.35,7.29,30.06,40.053,,,,
76,5-44710249,28,0.5,35,3,1,29,,,0.5,,,,2,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 6 -53um DTR Feed,5-44710249,NSRD0796-F-6,NSRD0796-F-6,Feed,34.44,34.82,1.28,0.05,0.6,0.67,0.1,0.06,2.25,0.35,0.2,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,26.9,2.22,8.01,-0.23,10,25.87,40.036,,,,
77,6-44710250,35,2,38,3,2,20,,,0.5,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 7 -53um DTR Feed,6-44710250,NSRD0796-F-7,NSRD0796-F-7,Feed,35.36,36.67,1.1,0.05,0.59,0.79,0.08,0.02,2.02,0.29,0.21,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,32.5,0.27,7.21,-0.31,7.17,28.04,40.041,,,,
78,7-44710251,,5,64,7,,19,,,1,,,,,4,,,,,100,Tr,N9821XD21,NSRD0796 Comp 2 -53um DTR Tails,7-44710251,NSRD0796-F-2,NSRD0796-F-2,Tails,15.78,60.81,2.15,0.09,0.84,0.68,0.19,0.09,2.72,0.55,0.02,0.02,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0.01,1.2,1.03,7.14,0.33,8.5,20.22,24.579,,,,
79,8-44710252,,2,61,9,2,24,,,1,,,,,,,1,,,100,Tr,N9821XD21,NSRD0796 Comp 3 -53um DTR Tails,8-44710252,NSRD0796-F-3,NSRD0796-F-3,Tails,13.56,59.51,2.8,0.11,0.92,0.96,0.15,0.11,3.85,0.81,0.03,0.01,0,0,0.01,0,0.02,0,0,0.01,0,0,0,0.01,1.2,0.47,9.76,0.24,10.47,17.58,22.523,,,,
80,9-44710253,,1,66,7,3,21,,,0.5,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0796 Comp 4 -53um DTR Tails,9-44710253,NSRD0796-F-4,NSRD0796-F-4,Tails,12.06,64.15,1.85,0.08,0.96,1.27,0.17,0.05,3.17,0.42,0.04,0.01,0,0,0.01,0.01,0.01,0,0,0.01,0,0,0,0.02,1,0.38,9.36,0.21,9.95,22.08,22.776,,,,
81,10-44710254,,1,56,8,2,32,,,0.5,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 5 -53um DTR Tails,10-44710254,NSRD0796-F-5,NSRD0796-F-5,Tails,16.6,53.54,2.25,0.09,0.93,1.11,0.16,0.12,3.7,0.47,0.07,0.01,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0.01,1.2,0.61,12.18,0.22,13.01,17.58,24.224,,,,
82,11-44710255,,1,49,4,2,40,,,0.5,,,,3,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 6 -53um DTR Tails,11-44710255,NSRD0796-F-6,NSRD0796-F-6,Tails,19.52,48.64,1.81,0.07,0.82,0.92,0.14,0.08,3.1,0.5,0.26,0.01,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0.01,0.9,6.19,8.62,0.2,15.01,20.83,27.686,,,,
83,12-44710256,,3,56,4,3,30,,,0.5,,,,3,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 7 -53um DTR Tails,12-44710256,NSRD0796-F-7,NSRD0796-F-7,Tails,16.68,55.01,1.69,0.07,0.87,1.22,0.12,0.04,3.07,0.43,0.28,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,1.3,0.74,11.77,0.2,12.71,25.64,24.599,,,,
84,13-44710257,28,5,39,4,0.5,22,,,,,,0.5,0.5,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 4 -53um DTR Feed,13-44710257,GVRD0267-F-4,GVRD0267-F-4,Feed,34.61,37.2,1.27,0.06,0.46,0.8,0.11,0.1,1.86,0.14,0.05,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,27.81,1.06,6.74,-0.02,7.78,31.5,40.07,,,,
85,14-44710258,27,4,42,5,1,20,,,,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 5 -53um DTR Feed,14-44710258,GVRD0267-F-5,GVRD0267-F-5,Feed,32.79,40.07,1.53,0.06,0.4,0.88,0.12,0.13,1.89,0.11,0.02,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,26.43,0.61,6.5,0.05,7.16,32.37,40,,,,
86,15-44710259,26,4,41,6,2,21,,,,,,1,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 6 -53um DTR Feed,15-44710259,GVRD0267-F-6,GVRD0267-F-6,Feed,32.32,40.37,1.58,0.07,0.47,0.79,0.1,0.11,2.07,0.15,0.03,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,26.23,0.48,6.93,0.04,7.45,34.11,39.98,,,,
87,16-44710260,26,8,41,3,2,19,,,,,,1,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 7 -53um DTR Feed,16-44710260,GVRD0267-F-7,GVRD0267-F-7,Feed,33.45,40.12,0.98,0.04,0.46,0.9,0.12,0.09,1.79,0.13,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,25.74,0.45,6.36,0.11,6.92,36.95,40.01,,,,
88,17-44710261,30,4,42,3,2,19,,,,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 8 -53um DTR Feed,17-44710261,GVRD0267-F-8,GVRD0267-F-8,Feed,33.68,39.97,1,0.05,0.45,0.93,0.12,0.06,1.63,0.17,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,29.59,0.5,6.17,0.04,6.71,35.41,39.96,,,,
89,18-44710262,25,1,41,7,1,25,,,,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 9 -53um DTR Feed,18-44710262,GVRD0267-F-9,GVRD0267-F-9,Feed,31.48,40.16,1.6,0.07,0.53,0.73,0.09,0.35,2.29,0.13,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,25.05,0.09,8.41,0.38,8.88,32.54,39.99,,,,
90,19-44710263,,7,54,5,2,30,,,,,,1,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 4 -53um DTR Tails,19-44710263,GVRD0267-F-4,GVRD0267-F-4,Tails,20.18,51.59,1.75,0.07,0.61,1.08,0.15,0.15,2.51,0.2,0.05,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.86,1.9,9.68,0.54,12.12,27.88,27.46,,,,
91,20-44710264,,5,57,8,3,26,,,,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 5 -53um DTR Tails,20-44710264,GVRD0267-F-5,GVRD0267-F-5,Tails,18.39,54.99,2.08,0.09,0.54,1.19,0.16,0.18,2.55,0.15,0.02,0.01,0,0,0.01,0,0,0,0.01,0,0,0,0,0.01,0.98,0.26,9.97,0.79,11.02,24.76,27.61,,,,
92,21-44710265,,6,58,7,2,26,,,,,,1,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 6 -53um DTR Tails,21-44710265,GVRD0267-F-6,GVRD0267-F-6,Tails,18.09,55.52,2.14,0.09,0.62,1.04,0.14,0.15,2.73,0.2,0.03,0.01,0,0,0.01,0,0,0,0.01,0,0,0,0.01,0.01,0.86,0.28,9.96,0.78,11.02,22.89,28.15,,,,
93,22-44710266,,9,58,4,3,24,,,,,,1,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 7 -53um DTR Tails,22-44710266,GVRD0267-F-7,GVRD0267-F-7,Tails,19.48,54.83,1.39,0.07,0.6,1.2,0.15,0.12,2.39,0.2,0.02,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0.01,1.11,0.34,9.45,0.82,10.61,21.65,28.31,,,,
94,23-44710267,,6,60,4,3,26,,,,,,1,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 8 -53um DTR Tails,23-44710267,GVRD0267-F-8,GVRD0267-F-8,Tails,17.02,57.99,1.48,0.06,0.62,1.3,0.17,0.09,2.29,0.25,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.98,0.21,9.83,0.88,10.92,27.59,26.37,,,,
95,24-44710268,,2,56,8,2,32,,,,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 9 -53um DTR Tails,24-44710268,GVRD0267-F-9,GVRD0267-F-9,Tails,17.8,53.24,2.08,0.08,0.68,0.95,0.12,0.46,2.98,0.17,0.02,0.01,0,0,0.01,0,0,0,0.01,0.01,0,0,0,0.01,0.98,0.24,11.49,1.12,12.85,25.28,29.07,,,,
96,25-44710269,31,9,42,4,,11,,,0.5,,,,,2,,,,,100,Tr,N9821XD21,GVRD0269 Comp 2 -53um DTR Feed,25-44710269,GVRD0269-F-2,GVRD0269-F-2,Feed,35.75,39.58,1.35,0.07,0.63,0.56,0.14,0.1,1.5,0.24,0.01,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,31.03,0.25,3.65,-0.08,3.82,32.59,40,,,,
97,26-44710270,28,1,35,8,,20,,,0.5,,,,,,,7,,,100,Tr,N9821XD21,GVRD0269 Comp 3 -53um DTR Feed,26-44710270,GVRD0269-F-3,GVRD0269-F-3,Feed,33.36,38.94,1.75,0.08,0.5,0.51,0.13,0.13,2.42,0.19,0.03,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0.01,29.2,0.16,7.08,-0.08,7.16,35.61,39.96,,,,
98,27-44710271,30,1,39,7,,21,,,,,,,,,,2,,,100,Tr,N9821XD21,GVRD0269 Comp 4 -53um DTR Feed,27-44710271,GVRD0269-F-4,GVRD0269-F-4,Feed,35.38,37.23,1.71,0.08,0.57,0.54,0.15,0.13,1.98,0.05,0.02,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0.01,32.58,0.14,6.45,-0.12,6.47,32.39,40.01,,,,
99,28-44710272,35,1,40,6,,16,,,0.5,,,,,1,,,,,100,Tr,N9821XD21,GVRD0269 Comp 5 -53um DTR Feed,28-44710272,GVRD0269-F-5,GVRD0269-F-5,Feed,34.05,40.47,1.93,0.09,0.59,0.38,0.1,0.15,1.74,0.19,0.01,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0.01,32.29,0.16,5.12,-0.07,5.21,32.4,40.07,,,,
100,29-44710273,37,4,39,3,4,12,,,0.5,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0269 Comp 6 -53um DTR Feed,29-44710273,GVRD0269-F-6,GVRD0269-F-6,Feed,35.17,38.85,1.03,0.05,0.6,1.28,0.11,0.05,1.76,0.31,0.01,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0.01,34.41,-0.05,4.3,0.62,4.87,38.14,39.98,,,,
101,30-44710274,38,5,37,3,5,11,,,0.5,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0269 Comp 7 -53um DTR Feed,30-44710274,GVRD0269-F-7,GVRD0269-F-7,Feed,35.7,38.6,1.15,0.05,0.6,1.27,0.12,0.1,1.83,0.41,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,35.67,-0.07,3.72,0.54,4.19,34.01,39.98,,,,
102,31-44710275,,7,65,7,,17,,,0.5,,,,,3,,,,,100,Tr,N9821XD21,GVRD0269 Comp 2 -53um DTR Tails,31-44710275,GVRD0269-F-2,GVRD0269-F-2,Tails,15.56,62.27,2.09,0.08,0.95,0.65,0.2,0.14,2.26,0.39,0.02,0,0,0,0.01,0,0.01,0,0.01,0.01,0,0,0,0.01,0.89,0.58,6.45,0.64,7.67,35.81,24.06,,,,
103,32-44710276,1,0.5,52,10,,28,,,0.5,,,,,,,8,,,100,Tr,N9821XD21,GVRD0269 Comp 3 -53um DTR Tails,32-44710276,GVRD0269-F-3,GVRD0269-F-3,Tails,16.72,55.89,2.49,0.1,0.69,0.66,0.18,0.19,3.35,0.25,0.05,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,0.89,0.36,10.54,0.74,11.64,20.94,26.864,,,,
104,33-44710277,0.5,0.5,55,11,,29,,,,,,,,,,4,,,100,Tr,N9821XD21,GVRD0269 Comp 4 -53um DTR Tails,33-44710277,GVRD0269-F-4,GVRD0269-F-4,Tails,16.62,55.92,2.58,0.11,0.84,0.8,0.22,0.2,2.97,0.07,0.03,0.01,0,0,0.01,0,0,0,0.01,0,0,0,0,0.01,1.02,0.4,10.47,0.6,11.47,24.09,25.091,,,,
105,34-44710278,0.5,1,62,12,,23,,,0.5,,,,,,,,,,100,Tr,N9821XD21,GVRD0269 Comp 5 -53um DTR Tails,34-44710278,GVRD0269-F-5,GVRD0269-F-5,Tails,14.83,60.89,2.85,0.12,0.86,0.55,0.14,0.23,2.55,0.29,0.04,0.01,0,0,0.01,0,0.01,0,0,0.01,0,0,0.01,0.01,1.29,0.47,8.38,0.7,9.55,28.01,24.371,,,,
106,35-44710279,0.5,6,64,4,6,18,,,0.5,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0269 Comp 6 -53um DTR Tails,35-44710279,GVRD0269-F-6,GVRD0269-F-6,Tails,13.98,61.86,1.61,0.06,0.91,1.91,0.17,0.08,2.67,0.48,0.02,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,1.15,0.22,7.47,1.81,9.5,31.22,24.111,,,,
107,36-44710280,0.5,7,63,4,7,16,,,1,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0269 Comp 7 -53um DTR Tails,36-44710280,GVRD0269-F-7,GVRD0269-F-7,Tails,13.99,61.88,1.8,0.07,0.91,1.93,0.18,0.16,2.81,0.63,0.02,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,1.15,0.19,6.77,1.71,8.67,29.89,23.323,,,,
108,37-44710282,84,,8,1,,4,,,,,,,,,,2,,,100,Tr,N9821XD21,NSRD0797 Comp 3 -53um DTR Cons,37-44710282,NSRD0797-F-3,NSRD0797-F-3,Cons,63.98,8.81,0.32,0.04,0.1,0.11,0.02,0.01,0.54,0.03,0.02,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,83.8,-1.38,-0.19,0,-1.57,44.81,13.717,,,,
109,38-44710283,87,,8,0.5,,2,,,,,,,,,,3,,,100,Tr,N9821XD21,NSRD0797 Comp 4 -53um DTR Cons,38-44710283,NSRD0797-F-4,NSRD0797-F-4,Cons,65,8.52,0.21,0.02,0.09,0.11,0.02,0,0.39,0.05,0.02,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,86.7,-1.42,-0.31,-0.59,-2.32,43.5,16.457,,,,
110,39-44710284,85,,9,1,,2,,,,,,,,,,3,,,100,Tr,N9821XD21,NSRD0797 Comp 8 -53um DTR Cons,39-44710284,NSRD0797-F-8,NSRD0797-F-8,Cons,63.8,9.74,0.29,0.03,0.1,0.1,0.02,0.01,0.48,0.06,0.03,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,83.8,-1.31,-0.27,-0.47,-2.05,43.39,16.868,,,,
111,40-44710285,85,,9,0.5,,2,,,,,,,,,,3,,,100,Tr,N9821XD21,NSRD0797 Comp 9 -53um DTR Cons,40-44710285,NSRD0797-F-9,NSRD0797-F-9,Cons,63.61,9.74,0.27,0.03,0.11,0.14,0.03,0.01,0.47,0.1,0.02,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,83.7,-1.33,-0.34,-0.5,-2.17,44.19,18.915,,,,
112,41-44710286,90,,7,,,1,,,,,,,,,,2,,,100,Tr,N9821XD21,NSRD0797 Comp 13 -53um DTR Cons,41-44710286,NSRD0797-F-13,NSRD0797-F-13,Cons,65.02,8.45,0.23,0.02,0.08,0.12,0.02,0,0.33,0.15,0.02,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,87.5,-1.35,-0.41,-0.85,-2.61,43.77,18.932,,,,
113,42-44710287,83,,7,1,,3,,,,,,,,,,6,,,100,Tr,N9821XD21,NSRD0797 Comp 14 -53um DTR Cons,42-44710287,NSRD0797-F-14,NSRD0797-F-14,Cons,62.99,10.01,0.5,0.05,0.1,0.11,0.02,0.02,0.64,0.12,0.03,0,0,0,0,0,0.01,0.01,0.04,0.01,0,0,0,0,82.5,-1.22,-0.19,-0.33,-1.74,45.57,12.765,,,,
114,43-44710288,79,12,6,0.5,,1,,,0.5,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0799 Comp 5 -53um DTR Cons,43-44710288,NSRD0799-F-5,NSRD0799-F-5,Cons,66.9,5.53,0.42,0.04,0.04,0.06,0.01,0.01,0.19,0.23,0.03,0.01,0,0.01,0,0,0.01,0.01,0.1,0.02,0,0,0,0,74.85,-0.3,-0.76,-1.18,-2.24,43.85,9.85,,,,
115,44-44710289,93,0.5,6,,,,,,,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0799 Comp 6 -53um DTR Cons,44-44710289,NSRD0799-F-6,NSRD0799-F-6,Cons,66.18,6.89,0.44,0.03,0.05,0.1,0.01,0.01,0.27,0.25,0.04,0,0,0,0,0,0.01,0.01,0.08,0.02,0,0,0,0,83.27,-0.42,-0.73,-1.35,-2.5,44.8,13.68,,,,
116,45-44710290,91,0.5,6,0.5,,1,,,,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0799 Comp 10 -53um DTR Cons,45-44710290,NSRD0799-F-10,NSRD0799-F-10,Cons,66.92,6.19,0.3,0.03,0.05,0.08,0.01,0.01,0.29,0.12,0.02,0,0,0.01,0,0,0.01,0.01,0.05,0.01,0,0,0,0,85,-0.43,-0.79,-1.29,-2.51,42.86,13.242,,,,
117,46-44710291,90,0.5,7,,,1,,,0.5,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0799 Comp 12 -53um DTR Cons,46-44710291,NSRD0799-F-12,NSRD0799-F-12,Cons,64.72,8.54,0.59,0.04,0.06,0.1,0.01,0.01,0.31,0.36,0.06,0,0,0,0,0,0.01,0.01,0.07,0.02,0,0,0,0,82.12,-0.42,-0.76,-1.27,-2.45,43.79,14.215,,,,
118,47-44710292,90,,7,0.5,,0.5,,,0.5,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0799 Comp 13 -53um DTR Cons,47-44710292,NSRD0799-F-13,NSRD0799-F-13,Cons,65.47,7.62,0.59,0.04,0.06,0.1,0.02,0.02,0.31,0.33,0.02,0.01,0,0.01,0,0,0.01,0.01,0.08,0.01,0,0,0,0,84.2,-0.4,-0.84,-1.26,-2.5,41.69,12.294,,,,
