BHID,Composite,CSS (µm),Process,Product,BV Report,Mineral,Chlorite group,Quartz,Pyroxene,Plagioclase,K-Feldspar,Calcite group - Siderite,Calcite group,Dolomite group,Spinel group,Hematite group,Stilpnomelane,Mica group,Pyrite,Rutile group,Goethite,Smectite group,Sepiolite,Kaolinite-serpentine group,Total,Birnessite,Sample,CompositeID,Size,Type,Fe3O4,Fe,SiO2,Al2O3,TiO2,Mn,CaO,P,S,MgO,K2O,Na2O,Zn,As,Cl,Cu,Pb,Ba,V,Cr,Ni,Co,Sn,Zr,Sr,LOI371,LOI650,LOI1000,LOI,IDENT,FeO,Sample,Pyrite group,MnO,Dry Wt
NSRD0796,Comp 6,53,DTR,TAILS,N9821XD21,11-44710255,3.662715848298998,49.37285572424173,,3.2040295503135403,,40.08946033739256,,1.5305504559203864,0.0,1.2395857295197317,,0.0,,0.900802354313065,0.0,0.0,0.0,0.0,100.0,,,NSRD0796 Comp 6 53 TAILS,-53um,TAILS,0.9,19.52,48.64,1.809,0.069,0.821,0.924,0.137,0.078,3.1,0.498,0.255,0.014,0.001,0.001,0.007,0.003,0.005,-0.001,0.002,0.005,0.001,-0.001,0.001,0.013,6.19,8.62,0.2,15.009999999999998,,,,,,
NSRD0796,Comp 7,53,DTR,TAILS,N9821XD21,12-44710256,3.516139451592046,55.640547317921545,,3.4767892382084895,,30.496207637060397,,3.2620247061135013,0.0,2.949131060334123,,0.0,,0.6591605887698992,0.0,0.0,0.0,0.0,100.0,,,NSRD0796 Comp 7 53 TAILS,-53um,TAILS,1.3,16.68,55.01,1.694,0.069,0.867,1.215,0.118,0.035,3.07,0.434,0.276,0.005,0.001,0.001,0.005,0.002,0.005,-0.001,0.001,0.003,0.001,-0.001,0.001,0.012,0.74,11.77,0.2,12.709999999999999,,,,,,
GVRD0267,Comp 4,53,DTR,FEED,N9821XD21,13-44710257,3.6790616596900896,39.35672772826809,,0.5508167060679249,,22.361066853194508,,0.8081006327147995,27.50089620362877,5.3883060940766345,,0.35502412235918357,,0.0,0.0,0.0,0.0,0.0,100.0,,,GVRD0267 Comp 4 53 FEED,-53um,FEED,27.81,34.61,37.2,1.271,0.06,0.456,0.799,0.109,0.103,1.86,0.142,0.045,0.003,0.001,0.007,-0.001,-0.001,-0.001,-0.001,0.013,0.003,-0.001,-0.001,0.003,0.009,1.06,6.74,-0.02,7.78,,,,,,
GVRD0267,Comp 5,53,DTR,FEED,N9821XD21,14-44710258,5.228799076821921,41.84336495970657,,0.0,,19.728158829109603,,1.425019901821068,27.218719498285367,4.358709187527038,,0.1972285467284311,,0.0,0.0,0.0,0.0,0.0,100.0,,,GVRD0267 Comp 5 53 FEED,-53um,FEED,26.43,32.79,40.07,1.529,0.064,0.402,0.879,0.116,0.126,1.89,0.107,0.022,0.002,0.001,0.005,0.002,-0.001,-0.001,0.001,0.013,0.002,-0.001,-0.001,0.003,0.009,0.61,6.5,0.05,7.16,,,,,,
GVRD0267,Comp 6,53,DTR,FEED,N9821XD21,15-44710259,6.091997243682289,40.55201613087787,,0.0,,20.523562136545156,,1.6790871209136027,25.54151923680787,4.31306807517735,,1.2987500559958702,,0.0,0.0,0.0,0.0,0.0,100.0,,,GVRD0267 Comp 6 53 FEED,-53um,FEED,26.23,32.32,40.37,1.583,0.066,0.472,0.789,0.102,0.114,2.07,0.15,0.034,0.002,0.002,0.003,0.001,-0.001,-0.001,0.001,0.011,0.001,-0.001,-0.001,0.003,0.009,0.48,6.93,0.04,7.45,,,,,,
GVRD0267,Comp 7,53,DTR,FEED,N9821XD21,16-44710260,2.9668940631091236,41.305382047591046,,0.0,,18.637692245892172,,2.2595656080876916,25.87772183585529,7.569047074575423,,1.3836971248892567,,0.0,0.0,0.0,0.0,0.0,100.0,,,GVRD0267 Comp 7 53 FEED,-53um,FEED,25.74,33.45,40.12,0.982,0.038,0.455,0.902,0.116,0.089,1.79,0.133,0.017,0.002,0.002,0.001,0.001,-0.001,-0.001,-0.001,0.009,-0.001,-0.001,-0.001,0.003,0.005,0.45,6.36,0.11,6.92,,,,,,
GVRD0267,Comp 8,53,DTR,FEED,N9821XD21,17-44710261,2.926525129535423,41.813305698017714,,0.0,,18.945296273897302,,1.9118705688622153,29.968355984738558,4.0243009002729435,,0.4103454446758425,,0.0,0.0,0.0,0.0,0.0,100.0,,,GVRD0267 Comp 8 53 FEED,-53um,FEED,29.59,33.68,39.97,0.999,0.048,0.447,0.927,0.122,0.064,1.63,0.172,0.016,0.002,0.001,0.003,-0.001,0.001,-0.001,-0.001,0.007,-0.001,-0.001,-0.001,0.003,0.01,0.5,6.17,0.04,6.71,,,,,,
GVRD0267,Comp 9,53,DTR,FEED,N9821XD21,18-44710262,6.989673565586971,40.9862347899252,,0.0,,24.658528230118687,,1.3566264342408687,24.57873136897542,1.3886797625003184,,0.04152584865253433,,0.0,0.0,0.0,0.0,0.0,100.0,,,GVRD0267 Comp 9 53 FEED,-53um,FEED,25.05,31.48,40.16,1.6,0.066,0.528,0.726,0.091,0.351,2.29,0.133,0.015,0.003,0.001,0.002,0.001,0.001,-0.001,0.001,0.015,-0.001,-0.001,-0.001,0.004,0.01,0.09,8.41,0.38,8.88,,,,,,
GVRD0267,Comp 4,53,DTR,TAILS,N9821XD21,19-44710263,4.751477318709346,53.876783002472365,,0.0,,30.258756910901575,,2.4258078211916683,0.0,7.207731341563616,,1.479443605161422,,0.0,0.0,0.0,0.0,0.0,100.0,,,GVRD0267 Comp 4 53 TAILS,-53um,TAILS,0.86,20.18,51.59,1.75,0.071,0.612,1.084,0.151,0.147,2.51,0.198,0.053,0.004,0.001,0.001,0.008,-0.001,-0.001,-0.001,0.004,-0.001,-0.001,-0.001,0.003,0.005,1.9,9.68,0.54,12.12,,,,,,
GVRD0267,Comp 5,53,DTR,TAILS,N9821XD21,20-44710264,7.792155079947535,56.97001694413859,,0.0,,26.389531725664547,,2.669209087578844,0.0,5.359619413167414,,0.8194677495030563,,0.0,0.0,0.0,0.0,0.0,100.0,,,GVRD0267 Comp 5 53 TAILS,-53um,TAILS,0.98,18.39,54.99,2.082,0.089,0.543,1.185,0.16,0.177,2.55,0.149,0.024,0.006,0.002,0.001,0.008,0.001,-0.001,-0.001,0.005,0.001,0.001,-0.001,0.004,0.009,0.26,9.97,0.79,11.02,,,,,,
