Sample ID,Type,Fe_%,SiO2_%,Al2O3_%,TiO2_%,Mn_%,CaO_%,P XRF_%,S XRF_%,MgO_%,K2O_%,Na2O_%,Zn_%,As_%,Cl_%,Cu_%,Pb_%,Ba_%,V_%,Cr_%,Ni_%,Co_%,Sn XRF_%,Zr_%,Sr_%,Fe3O4_%,LOI_371_%,LOI_650_%,LOI_1000_%,LOI_ Total_%,P80_um_(l),Mass_g
NSRD0800-F-4,Feed,32.14,41.47,2.15,0.09,0.47,1.28,0.08,0.04,2.24,0.89,0.11,0.01,0,0,0,0,0.02,0,0.02,0.01,0,0,0,0.01,30.5,4,0.45,4.79,0.34,30.45,40.07
NSRD0800-F-5,Feed,28.11,43.3,4.28,0.19,0.42,1.05,0.08,0.37,2.77,1.81,0.1,0.01,0,0,0,0,0.04,0.01,0.04,0.01,0,0,0.01,0.01,23.2,4.59,0.47,5.34,0.28,28.26,40.09
NSRD0800-F-6,Feed,22.86,47.12,6.44,0.29,0.27,1.13,0.09,0.31,2.92,2.88,0.11,0.01,0,0.01,0.01,0,0.06,0.01,0.05,0.02,0,0,0.01,0.01,14.9,4.37,0.63,5.4,0.4,30.29,40
NSRD0800-F-8,Feed,22.08,47.43,6.3,0.3,0.31,1.04,0.07,0.37,3.28,2.46,0.12,0.01,0,0.01,0.01,0,0.06,0.01,0.06,0.02,0,0,0.01,0.01,11.8,5.16,0.73,6.42,0.53,28.57,39.99
NSRD0800-F-11,Feed,29.5,43.02,3.23,0.15,0.38,1.26,0.07,0.29,2.84,1.13,0.13,0.01,0,0,0,0,0.03,0,0.03,0.01,0,0,0.01,0.01,26.6,4.38,0.56,5.09,0.15,30.35,39.95
NSRD0800-F-15,Feed,31.11,40.52,2.98,0.13,0.38,1.39,0.09,0.17,2.56,1.29,0.13,0.01,0,0,0,0,0.02,0,0.03,0.01,0,0,0,0.02,29.3,4.39,0.48,5.24,0.37,29.02,40
NSRD0801-F-3,Feed,30.81,42.32,2.31,0.1,0.27,1.83,0.11,0.16,2.04,0.85,0.07,0,0,0,0,0,0.01,0,0.02,0.01,0,0,0,0.01,26,0.26,4.52,0.86,5.64,33.76,39.97
NSRD0801-F-4,Feed,31.65,41.29,1.87,0.08,0.36,1.99,0.11,0.16,1.92,0.7,0.06,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0.01,28.4,0.26,4.68,0.99,5.93,29.1,40.01
NSRD0801-F-5,Feed,29.17,43.79,2.5,0.1,0.31,1.49,0.11,0.29,2.32,0.81,0.08,0,0,0,0,0,0.01,0,0.02,0.01,0,0,0,0.01,22.3,0.28,5.27,0.66,6.21,30.47,39.95
NSRD0801-F-6,Feed,25.38,44.2,3.76,0.15,0.37,1.8,0.12,0.47,3.06,1.08,0.1,0,0,0,0,0,0.01,0,0.03,0.01,0,0,0,0.01,12.4,0.5,6.78,1.1,8.38,34.64,40.02
NSRD0801-F-7,Feed,23.43,48.14,4.38,0.18,0.29,1.54,0.12,0.7,2.96,1.25,0.1,0,0,0,0,0,0.01,0,0.04,0.01,0,0,0.01,0.01,11.6,0.44,5.23,1.16,6.83,36.96,39.95
NSRD0801-F-8,Feed,30.42,40.93,2.38,0.1,0.32,1.88,0.11,0.13,2.69,0.81,0.09,0,0,0,0,0,0.01,0,0.02,0.01,0,0,0,0.01,24.6,0.38,5.36,0.99,6.73,30.55,40
GVRD0267-F-4,Feed,34.61,37.2,1.27,0.06,0.46,0.8,0.11,0.1,1.86,0.14,0.05,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,27.81,1.06,6.74,-0.02,7.78,31.5,40.07
GVRD0267-F-5,Feed,32.79,40.07,1.53,0.06,0.4,0.88,0.12,0.13,1.89,0.11,0.02,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,26.43,0.61,6.5,0.05,7.16,32.37,40
GVRD0267-F-6,Feed,32.32,40.37,1.58,0.07,0.47,0.79,0.1,0.11,2.07,0.15,0.03,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,26.23,0.48,6.93,0.04,7.45,34.11,39.98
GVRD0267-F-7,Feed,33.45,40.12,0.98,0.04,0.46,0.9,0.12,0.09,1.79,0.13,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,25.74,0.45,6.36,0.11,6.92,36.95,40.01
GVRD0267-F-8,Feed,33.68,39.97,1,0.05,0.45,0.93,0.12,0.06,1.63,0.17,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,29.59,0.5,6.17,0.04,6.71,35.41,39.96
GVRD0267-F-9,Feed,31.48,40.16,1.6,0.07,0.53,0.73,0.09,0.35,2.29,0.13,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,25.05,0.09,8.41,0.38,8.88,32.54,39.99
GVRD0268-F-2,Feed,35.46,38.25,0.97,0.04,0.57,0.47,0.12,0.04,1.49,0.3,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,29.03,1.28,5.5,-0.19,6.59,31.55,40.06
GVRD0268-F-3,Feed,35.11,38.62,0.96,0.04,0.61,0.42,0.1,0.13,1.55,0.19,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,31.4,1.4,5.38,-0.01,6.77,28.78,40.04
GVRD0268-F-4,Feed,36.88,38.15,1.34,0.06,0.62,0.32,0.09,0.08,1.57,0.1,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,37.8,0.5,4.27,-0.21,4.56,28.13,40.03
GVRD0268-F-5,Feed,33.18,38.18,1.73,0.07,0.52,0.39,0.09,0.1,2.27,0.02,0.02,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,25.6,1.59,7.33,-0.11,8.81,27.61,40.02
GVRD0268-F-6,Feed,37.21,37.79,1.08,0.05,0.65,0.34,0.09,0.06,1.4,0.26,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,34.6,0.5,4.36,-0.18,4.68,29.76,39.99
GVRD0268-F-7,Feed,38.48,36.7,0.93,0.04,0.59,0.44,0.11,0.04,1.49,0.27,0.03,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,36.1,0.13,4.07,-0.27,3.93,31.05,40
GVRD0268-F-8,Feed,38.93,35.42,0.71,0.03,0.58,1.42,0.09,0.02,1.68,0.17,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,39.2,-0.05,3.24,0.65,3.84,32.46,39.99
GVRD0268-F-9,Feed,36.1,36.46,0.93,0.04,0.61,1.61,0.11,0.05,2.26,0.11,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,35.7,0.05,4.99,0.75,5.79,32.51,39.95
GVRD0269-F-2,Feed,35.75,39.58,1.35,0.07,0.63,0.56,0.14,0.1,1.5,0.24,0.01,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,31.03,0.25,3.65,-0.08,3.82,32.59,40
GVRD0269-F-3,Feed,33.36,38.94,1.75,0.08,0.5,0.51,0.13,0.13,2.42,0.19,0.03,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0.01,29.2,0.16,7.08,-0.08,7.16,35.61,39.96
GVRD0269-F-4,Feed,35.38,37.23,1.71,0.08,0.57,0.54,0.15,0.13,1.98,0.05,0.02,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0.01,32.58,0.14,6.45,-0.12,6.47,32.39,40.01
GVRD0269-F-5,Feed,34.05,40.47,1.93,0.09,0.59,0.38,0.1,0.15,1.74,0.19,0.01,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0.01,32.29,0.16,5.12,-0.07,5.21,32.4,40.07
GVRD0269-F-6,Feed,35.17,38.85,1.03,0.05,0.6,1.28,0.11,0.05,1.76,0.31,0.01,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0.01,34.41,-0.05,4.3,0.62,4.87,38.14,39.98
GVRD0269-F-7,Feed,35.7,38.6,1.15,0.05,0.6,1.27,0.12,0.1,1.83,0.41,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,35.67,-0.07,3.72,0.54,4.19,34.01,39.98
NSRD0796-F-2,Cons,65.29,6.99,0.2,0.02,0.09,0.05,0.02,0.01,0.27,0.05,0.01,0,0,0,0,0,0,0.01,0.02,0.01,0,0,0,0,63.1,-0.13,-0.32,-0.75,-1.2,36.64,15.455
NSRD0796-F-3,Cons,63.97,9.39,0.36,0.03,0.09,0.09,0.02,0.01,0.37,0.14,0.01,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0,84.1,-0.26,-0.69,-1.03,-1.98,41.07,17.562
NSRD0796-F-4,Cons,65.37,7.77,0.21,0.02,0.09,0.09,0.02,0.01,0.29,0.06,0.02,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,86.4,-0.3,-0.73,-1.22,-2.25,40.92,17.233
NSRD0796-F-5,Cons,64.38,8.4,0.28,0.02,0.11,0.1,0.02,0.01,0.39,0.08,0.01,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,84.7,-0.26,-0.25,-1.15,-1.66,43.26,15.829
NSRD0796-F-6,Cons,66.67,5.51,0.18,0.02,0.09,0.09,0.02,0.01,0.28,0.06,0.04,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0,86.8,-0.29,-0.39,-1.07,-1.75,40.02,12.35
NSRD0796-F-7,Cons,64.57,8.44,0.24,0.02,0.1,0.09,0.02,0.01,0.3,0.07,0.05,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,84.9,-0.31,-0.42,-1.07,-1.8,40.07,15.442
NSRD0797-F-3,Cons,63.98,8.81,0.32,0.04,0.1,0.11,0.02,0.01,0.54,0.03,0.02,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,83.8,-1.57,-0.19,0,-1.38,44.81,13.717
NSRD0797-F-4,Cons,65,8.52,0.21,0.02,0.09,0.11,0.02,0,0.39,0.05,0.02,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,86.7,-2.32,-0.31,-0.59,-1.42,43.5,16.457
NSRD0797-F-8,Cons,63.8,9.74,0.29,0.03,0.1,0.1,0.02,0.01,0.48,0.06,0.03,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,83.8,-2.05,-0.27,-0.47,-1.31,43.39,16.868
NSRD0797-F-9,Cons,63.61,9.74,0.27,0.03,0.11,0.14,0.03,0.01,0.47,0.1,0.02,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,83.7,-2.17,-0.34,-0.5,-1.33,44.19,18.915
NSRD0797-F-13,Cons,65.02,8.45,0.23,0.02,0.08,0.12,0.02,0,0.33,0.15,0.02,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,87.5,-2.61,-0.41,-0.85,-1.35,43.77,18.932
NSRD0797-F-14,Cons,62.99,10.01,0.5,0.05,0.1,0.11,0.02,0.02,0.64,0.12,0.03,0,0,0,0,0,0.01,0.01,0.04,0.01,0,0,0,0,82.5,-1.74,-0.19,-0.33,-1.22,45.57,12.765
NSRD0798-F-3,Cons,65.71,7.35,0.22,0.03,0.08,0.11,0.03,0.01,0.33,0.06,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,85.8,-0.25,-0.61,-1.44,-2.3,43.4,15.324
NSRD0798-F-4,Cons,64.55,8.9,0.3,0.04,0.09,0.13,0.03,0.01,0.36,0.12,0.02,0,0,0,0,0,0.01,0,0.02,0.01,0,0,0,0,84,-0.29,-0.67,-1.37,-2.33,46.84,17.842
NSRD0798-F-5,Cons,62.56,10.82,0.39,0.04,0.09,0.27,0.03,0.01,0.36,0.27,0.01,0,0,0,0,0,0.01,0.01,0.03,0.01,0,0,0,0,80,-0.32,-0.55,-1.2,-2.07,48.25,17.751
NSRD0798-F-6,Cons,65.18,7.83,0.31,0.04,0.07,0.21,0.02,0.01,0.36,0.12,0.01,0,0,0,0,0,0.01,0.01,0.03,0.01,0,0,0,0.01,83.2,-0.32,-0.68,-1.18,-2.18,46.48,13.399
NSRD0798-F-7,Cons,62.3,10.69,0.45,0.05,0.09,0.17,0.02,0.02,0.52,0.12,0.03,0,0,0,0,0,0.01,0.01,0.04,0.01,0,0,0,0.01,78.3,-0.14,0.03,-1.26,-1.37,48.94,11.072
NSRD0798-F-8,Cons,62.77,10.19,0.44,0.04,0.09,0.14,0.02,0.02,0.49,0.12,0.03,0,0,0,0,0,0,0.01,0.04,0.01,0,0,0,0,80.4,-0.15,0,-1.34,-1.49,48.67,11.901
NSRD0798-F-9,Cons,64.15,8.5,0.46,0.05,0.08,0.17,0.02,0.02,0.45,0.12,0.04,0,0,0,0,0,0,0.01,0.07,0.01,0,0,0,0,80.7,-0.14,-0.23,-1.22,-1.59,50.17,7.458
NSRD0798-F-10,Cons,65.96,6.57,0.37,0.04,0.06,0.17,0.02,0.01,0.34,0.09,0.02,0,0,0,0,0,0,0.01,0.04,0.01,0,0,0,0,83.4,-0.26,-0.71,-1.14,-2.11,46.98,11.61
NSRD0799-F-5,Cons,66.9,5.53,0.42,0.04,0.04,0.06,0.01,0.01,0.19,0.23,0.03,0.01,0,0.01,0,0,0.01,0.01,0.1,0.02,0,0,0,0,74.85,-0.3,-0.76,-1.18,-2.24,43.85,9.85
NSRD0799-F-6,Cons,66.18,6.89,0.44,0.03,0.05,0.1,0.01,0.01,0.27,0.25,0.04,0,0,0,0,0,0.01,0.01,0.08,0.02,0,0,0,0,83.27,-0.42,-0.73,-1.35,-2.5,44.8,13.68
NSRD0799-F-10,Cons,66.92,6.19,0.3,0.03,0.05,0.08,0.01,0.01,0.29,0.12,0.02,0,0,0.01,0,0,0.01,0.01,0.05,0.01,0,0,0,0,85,-0.43,-0.79,-1.29,-2.51,42.86,13.242
NSRD0799-F-12,Cons,64.72,8.54,0.59,0.04,0.06,0.1,0.01,0.01,0.31,0.36,0.06,0,0,0,0,0,0.01,0.01,0.07,0.02,0,0,0,0,82.12,-0.42,-0.76,-1.27,-2.45,43.79,14.215
NSRD0799-F-13,Cons,65.47,7.62,0.59,0.04,0.06,0.1,0.02,0.02,0.31,0.33,0.02,0.01,0,0.01,0,0,0.01,0.01,0.08,0.01,0,0,0,0,84.2,-0.4,-0.84,-1.26,-2.5,41.69,12.294
NSRD0799-F-14,Cons,65.42,7.19,0.69,0.06,0.05,0.1,0.01,0.01,0.38,0.3,0.02,0.01,0,0,0,0,0.01,0.02,0.18,0.01,0,0,0,0,83.46,-0.25,-0.78,-1.32,-2.35,44.96,7.697
NSRD0799-F-16,Cons,66.06,6.13,0.65,0.07,0.04,0.07,0.01,0.02,0.38,0.22,0.02,0.01,0,0,0,0,0.01,0.02,0.21,0.01,0,0,0,0,84.99,-0.26,-0.75,-1.35,-2.36,44.46,7.805
NSRD0799-F-17,Cons,65.09,7.66,0.71,0.06,0.05,0.1,0.01,0.02,0.38,0.28,0.02,0.01,0,0,0,0,0.02,0.01,0.14,0.01,0,0,0,0,85.6,-0.24,-0.72,-1.36,-2.32,47,7.682
NSRD0800-F-4,Cons,64.78,8.33,0.38,0.03,0.07,0.1,0.02,0.01,0.31,0.19,0.03,0,0,0,0,0.01,0.01,0,0.04,0.01,0,0,0,0.01,81.6,-0.62,-1.27,-2.27,-0.38,43.99,14.505
NSRD0800-F-5,Cons,64.02,8.69,0.65,0.05,0.07,0.11,0.02,0.04,0.42,0.26,0.03,0.01,0,0,0,0.01,0.02,0.01,0.09,0.01,0,0,0,0.01,83.3,-0.68,-1.18,-2.15,-0.29,42.16,10.796
NSRD0800-F-6,Cons,64.44,7.94,0.81,0.07,0.04,0.1,0.01,0.02,0.45,0.27,0.03,0.01,0,0,0,0,0.01,0.01,0.15,0.01,0,0,0,0,81.4,-0.75,-1.23,-2.23,-0.25,45.16,6.511
NSRD0800-F-8,Cons,64.92,6.92,0.74,0.07,0.06,0.08,0.01,0.02,0.48,0.21,0.02,0.02,0,0,0,0,0.01,0.02,0.26,0.01,0,0,0,0.01,81.8,-0.55,-1.22,-1.97,-0.2,43.74,5.271
NSRD0800-F-11,Cons,65.24,7.45,0.59,0.05,0.05,0.07,0.01,0.02,0.38,0.25,0.01,0.01,0,0,0,0,0.01,0.01,0.06,0.01,0,0,0,0.01,83.7,-0.86,-1.17,-2.37,-0.34,44.62,12.142
NSRD0800-F-15,Cons,65.22,7.33,0.66,0.05,0.05,0.09,0.01,0.02,0.34,0.37,0.02,0.01,0,0,0,0,0.01,0.01,0.06,0.01,0,0,0,0.01,85.4,-0.93,-1.11,-2.41,-0.37,43.2,13.593
NSRD0801-F-3,Cons,67.86,4.61,0.3,0.02,0.03,0.11,0.01,0.01,0.18,0.15,0,0,0,0,0,0,0,0.01,0.05,0.01,0,0,0,0,84.4,-0.4,-0.97,-1.21,-2.58,42.45,12.338
NSRD0801-F-4,Cons,67.94,4.52,0.31,0.03,0.03,0.12,0.01,0.01,0.18,0.16,0.01,0,0,0,0,0.01,0.01,0.01,0.05,0.01,0,0,0,0,89,-0.41,-1.06,-1.22,-2.69,42.63,12.924
NSRD0801-F-5,Cons,67.39,5.2,0.31,0.03,0.03,0.11,0.01,0.01,0.23,0.13,0.02,0,0,0,0,0,0.01,0.01,0.06,0.01,0,0,0,0,88.4,-0.38,-0.91,-1.3,-2.59,44.34,9.995
NSRD0801-F-6,Cons,67.88,4.15,0.37,0.04,0.04,0.12,0.01,0.01,0.29,0.09,0.01,0,0,0,0,0,0,0.01,0.12,0.01,0,0,0,0,89.2,-0.32,-0.81,-1.31,-2.44,45.23,5.514
NSRD0801-F-7,Cons,67.57,4.69,0.36,0.04,0.03,0.12,0.02,0.02,0.3,0.08,0.02,0,0,0,0,0,0,0.01,0.09,0.01,0,0,0,0,88.6,-0.33,-1.04,-1.17,-2.54,44.86,4.883
NSRD0801-F-8,Cons,67.9,4.35,0.35,0.03,0.03,0.14,0.02,0.01,0.3,0.13,0.04,0,0,0,0,0,0,0.01,0.05,0.01,0,0,0,0,89.4,-0.42,-1,-1.23,-2.65,43.82,11.261
GVRD0267-F-4,Cons,66.74,6.3,0.14,0.02,0.07,0.07,0.02,0.01,0.21,0.02,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0,0,86.58,-0.35,-0.64,-1.19,-2.18,45,12.61
GVRD0267-F-5,Cons,66.32,6.54,0.18,0.02,0.06,0.09,0.02,0.01,0.21,0.01,0.01,0,0,0.01,0,0,0,0,0.03,0.01,0,0,0,0,88.29,-0.34,-0.73,-1.21,-2.28,45.81,12.39
GVRD0267-F-6,Cons,66.85,5.97,0.12,0.02,0.06,0.07,0.01,0.01,0.2,0.01,0.02,0,0,0.01,0,0,0,0,0.02,0.01,0,0,0,0,88.29,-0.37,-0.72,-1.2,-2.29,48.65,11.83
GVRD0267-F-7,Cons,68.06,4.64,0.08,0.01,0.05,0.07,0.01,0.01,0.17,0.01,0.01,0,0,0.01,0,0,0,0,0.03,0.01,0,0,0,0,89.61,-0.44,-0.89,-1.19,-2.52,46.79,11.7
GVRD0267-F-8,Cons,67.23,5.71,0.1,0.02,0.06,0.08,0.02,0.01,0.18,0.02,0.01,0,0,0.01,0,0,0.01,0,0.03,0.01,0,0,0,0.01,88.47,-0.42,-0.73,-1.23,-2.38,47.88,13.59
GVRD0267-F-9,Cons,66.38,6.14,0.17,0.02,0.08,0.08,0.02,0.01,0.25,0.02,0.01,0,0,0.01,0,0,0,0,0.03,0,0,0,0,0,89.23,-0.34,-0.56,-1.22,-2.12,47.07,10.92
GVRD0268-F-2,Cons,66.27,6.94,0.09,0.02,0.07,0.07,0.02,0,0.16,0.03,0,0,0,0,0,0,0,0.01,0.02,0.01,0,0,0,0,81.82,-0.44,-0.79,-1.06,-2.29,43.03,13.479
