Sample ID,Type,Fe_%,SiO2_%,Al2O3_%,TiO2_%,Mn_%,CaO_%,P XRF_%,S XRF_%,MgO_%,K2O_%,Na2O_%,Zn_%,As_%,Cl_%,Cu_%,Pb_%,Ba_%,V_%,Cr_%,Ni_%,Co_%,Sn XRF_%,Zr_%,Sr_%,Fe3O4_%,LOI_371_%,LOI_650_%,LOI_1000_%,LOI_ Total_%,P80_um_(l),Mass_g
NSRD0797-F-14,Tails,16.27,55.74,2.92,0.12,0.71,1.41,0.22,0.17,4.19,0.68,0.15,0,0,0,0.01,0,0.02,0,0,0.01,0,0,0,0.01,1.2,9.48,1.06,7.67,0.75,32.34,27.314
NSRD0798-F-3,Tails,17.16,56.43,1.94,0.08,0.88,1.07,0.16,0.06,3.49,0.48,0.1,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,2.6,0.84,8.85,0.44,10.13,28.63,24.701
NSRD0798-F-4,Tails,14.14,59.17,2.25,0.09,0.93,2.39,0.16,0.16,3.47,0.78,0.11,0.01,0,0,0.01,0,0.02,0,0,0.01,0,0,0,0.01,1.2,0.6,7.04,1.89,9.53,26.95,22.131
NSRD0798-F-5,Tails,10.94,61.16,2.81,0.12,0.79,3.53,0.22,0.14,3.33,1.78,0.09,0.01,0,0,0.01,0,0.02,0,0,0,0,0,0,0.01,1.2,0.44,5.92,3.08,9.44,26.93,22.231
NSRD0798-F-6,Tails,14.9,58.49,2.24,0.09,0.53,3.04,0.15,0.18,3.13,0.7,0.11,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1,0.72,6.38,2.47,9.57,29.98,26.59
NSRD0798-F-7,Tails,20.11,52.05,2.37,0.1,0.51,1.48,0.12,0.14,2.96,0.58,0.14,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1.2,1.39,8.07,0.89,10.35,30.94,28.916
NSRD0798-F-8,Tails,20.43,51.88,2.44,0.1,0.53,1.16,0.15,0.11,2.96,0.63,0.15,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1.1,1.47,8.07,0.47,10.01,30.69,28.104
NSRD0798-F-9,Tails,22.3,47.48,3.09,0.14,0.45,1.7,0.14,0.25,3.02,0.75,0.16,0.01,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,1,1.16,8.04,1.03,10.23,33.95,32.539
NSRD0798-F-10,Tails,18.6,53.1,3.05,0.13,0.45,2.66,0.15,0.19,2.97,0.72,0.15,0.01,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,1,1.08,6.13,2,9.21,30.23,28.391
NSRD0799-F-5,Tails,19.52,54.46,4.53,0.21,0.52,1.14,0.15,0.13,2.32,1.88,0.29,0.01,0,0,0.01,0.01,0.04,0,0.03,0.01,0,0,0.01,0.01,1.09,1.27,4.3,0.52,6.09,36.31,30.1
NSRD0799-F-6,Tails,13.75,58.75,3.84,0.17,0.6,2.18,0.17,0.1,3.32,1.82,0.34,0.01,0,0,0.01,0,0.04,0,0.01,0.01,0,0,0.01,0.01,0.99,0.5,6.61,1.59,8.7,30,26.31
NSRD0799-F-10,Tails,14.13,58.38,3.45,0.15,0.62,2.06,0.11,0.18,3.66,1.26,0.18,0.01,0,0.01,0.01,0,0.03,0,0.01,0.01,0,0,0.01,0.01,0.9,0.46,7.46,1.52,9.44,31.67,26.731
NSRD0799-F-12,Tails,13.87,59.09,4.27,0.19,0.6,1.84,0.11,0.14,3.4,2.17,0.45,0.01,0,0,0.01,0.01,0.05,0,0.01,0.01,0,0,0.01,0.01,0.88,0.41,6.15,1.31,7.87,32.49,25.735
NSRD0799-F-13,Tails,12.59,59.29,4.93,0.21,0.57,1.83,0.12,0.51,3.39,2.51,0.16,0.01,0,0,0.01,0,0.06,0,0.01,0.01,0,0,0.01,0.01,0.9,0.37,5.97,1.33,7.67,29.53,27.645
NSRD0799-F-14,Tails,14.09,55.76,6.97,0.33,0.37,1.31,0.1,0.29,3.53,3.15,0.13,0.01,0,0,0.01,0,0.08,0.01,0.04,0.02,0,0,0.01,0.01,0.78,0.54,5.7,0.97,7.21,31.96,32.243
NSRD0799-F-16,Tails,16.08,53.95,6.13,0.29,0.39,1.23,0.1,0.43,3.59,2.34,0.12,0.01,0,0,0.01,0.01,0.11,0,0.03,0.02,0,0,0.01,0.01,0.99,0.6,6.52,0.99,8.11,35.2,32.185
NSRD0799-F-17,Tails,13.95,55.76,6.92,0.32,0.37,1.45,0.12,0.33,3.37,3.18,0.12,0.01,0,0,0.01,0,0.11,0.01,0.04,0.02,0,0,0.01,0.01,0.8,0.54,5.61,1.01,7.16,31.9,32.32
NSRD0800-F-4,Tails,13.28,61.17,3.18,0.13,0.68,1.88,0.11,0.09,3.23,1.25,0.16,0.01,0,0,0.01,0,0.03,0,0,0.01,0,0,0.01,0.01,1,6.46,1.44,8.65,0.75,26.9,25.565
NSRD0800-F-5,Tails,14.32,56.61,5.71,0.25,0.53,1.36,0.1,0.48,3.59,2.37,0.13,0.01,0,0.01,0.01,0,0.05,0,0.01,0.01,0,0,0.01,0.01,0.9,6.4,1.11,8.01,0.5,28.98,29.294
NSRD0800-F-6,Tails,14.4,55.27,7.55,0.34,0.32,1.3,0.11,0.37,3.37,3.39,0.15,0.01,0,0.01,0.01,0.01,0.08,0.01,0.03,0.02,0,0,0.01,0.01,0.7,5.29,0.97,6.83,0.57,31.65,33.489
NSRD0800-F-8,Tails,15.56,53.88,7.06,0.34,0.34,1.15,0.08,0.41,3.66,2.76,0.16,0.01,0,0.01,0.01,0,0.07,0.01,0.04,0.02,0,0,0.01,0.01,0.7,5.88,1.04,7.57,0.65,31.89,34.719
NSRD0800-F-11,Tails,13.55,59.22,4.38,0.19,0.52,1.73,0.09,0.4,3.89,1.49,0.19,0.01,0,0,0.01,0,0.04,0,0.01,0.01,0,0,0.01,0.01,1,6.46,1.39,8.26,0.41,29.83,27.808
NSRD0800-F-15,Tails,13.21,58.68,4.21,0.18,0.55,2,0.13,0.24,3.67,1.75,0.2,0.01,0,0.01,0.01,0,0.04,0,0.01,0.01,0,0,0.01,0.01,0.9,7.02,1.48,9.1,0.6,31.65,26.407
NSRD0801-F-3,Tails,14.03,59.95,3.21,0.13,0.37,2.51,0.15,0.22,2.79,1.13,0.11,0.01,0,0,0.01,0,0.02,0,0.01,0.01,0,0,0.01,0.01,1,0.42,6.82,1.79,9.03,25.26,27.632
NSRD0801-F-4,Tails,13.79,59.91,2.61,0.11,0.5,2.82,0.15,0.23,2.71,0.94,0.09,0.01,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0.01,0.9,0.44,7.19,2.18,9.81,27.14,27.086
NSRD0801-F-5,Tails,16.06,57.33,3.26,0.13,0.4,1.93,0.14,0.39,3,1.01,0.1,0.01,0,0,0.01,0,0.01,0,0.01,0.01,0,0,0,0.01,0.9,0.46,7.28,1.34,9.08,26.97,29.955
NSRD0801-F-6,Tails,18.94,50.7,4.24,0.17,0.41,1.99,0.14,0.53,3.41,1.19,0.15,0.01,0,0,0.01,0,0.02,0,0.02,0.01,0,0,0.01,0.01,0.7,0.62,7.7,1.47,9.79,30.07,34.506
